Nombre espacio, Area(m2)
"P01_E01", 64.00
Horario Funcionamiento Equipo, Funcionamiento Real Equipo, Transmisión Muros Exteriores(W/m2 del espacio), Transmisión Muros Interiores(W/m2 del espacio), Transmisión Cubiertas(W/m2 del espacio), Transmisión Suelos(W/m2 del espacio), Transmisión Puentes Térmicos(W/m2 del espacio), Transmisión Ventanas(W/m2 del espacio), Radiación Ventanas(W/m2 del espacio), Fuentes internas(W/m2 del espacio), Carga de ventilación e infiltración(W/m2 del espacio), Energia Almacenada Aire(W/m2 del espacio), Carga Total(W/m2 del espacio), Temperatura aire (ºC)
0, 0, 0.000, 0.812, 0.000, 5.053, 0.067, 0.000, 0.000, 0.000, -5.932, 0.000, -0.000, 17.82
0, 0, 0.000, 0.560, 0.000, 3.433, 0.040, 0.000, 0.000, 0.000, -4.033, -0.000, -0.000, 18.16
0, 0, 0.000, 0.489, 0.000, 3.002, 0.033, 0.000, 0.000, 0.000, -3.524, -0.000, -0.000, 18.23
0, 0, 0.000, 0.484, 0.000, 2.999, 0.033, 0.000, 0.000, 0.000, -3.515, 0.000, -0.000, 18.20
0, 0, 0.000, 0.499, 0.000, 3.136, 0.035, 0.000, 0.000, 0.000, -3.671, 0.000, -0.000, 18.14
0, 0, 0.000, 0.491, 0.000, 3.134, 0.035, 0.000, 0.000, 0.000, -3.660, 0.000, -0.000, 18.10
0, 0, 0.000, 0.504, 0.000, 3.275, 0.037, 0.000, 0.000, 0.000, -3.816, 0.000, -0.000, 18.03
0, 0, 0.000, 0.499, 0.000, 3.312, 0.038, 0.000, 0.000, 0.000, -3.849, -0.000, -0.000, 18.14
0, 0, 0.000, 0.489, 0.000, 3.317, 0.038, 0.000, 0.000, 0.000, -3.844, 0.000, -0.000, 18.12
0, 0, 0.000, 0.438, 0.000, 3.036, 0.033, 0.000, 0.000, 0.000, -3.507, -0.000, 0.000, 18.18
0, 0, 0.000, 0.388, 0.000, 2.757, 0.028, 0.000, 0.000, 0.000, -3.173, -0.000, 0.000, 18.23
0, 0, 0.000, 0.379, 0.000, 2.762, 0.028, 0.000, 0.000, 0.000, -3.169, 0.000, 0.000, 18.22
0, 0, 0.000, 0.351, 0.000, 2.624, 0.026, 0.000, 0.000, 0.000, -3.001, -0.000, -0.000, 18.24
0, 0, 0.000, 0.324, 0.000, 2.487, 0.024, 0.000, 0.000, 0.000, -2.835, -0.000, -0.000, 18.27
0, 0, 0.000, 0.298, 0.000, 2.349, 0.021, 0.000, 0.000, 0.000, -2.669, -0.000, -0.000, 18.29
0, 0, 0.000, 0.290, 0.000, 2.354, 0.021, 0.000, 0.000, 0.000, -2.665, 0.000, -0.000, 18.28
0, 0, 0.000, 0.300, 0.000, 2.500, 0.024, 0.000, 0.000, 0.000, -2.824, 0.000, -0.000, 18.23
0, 0, 0.000, 0.309, 0.000, 2.647, 0.026, 0.000, 0.000, 0.000, -2.982, 0.000, -0.000, 18.18
0, 0, 0.000, 0.300, 0.000, 2.650, 0.027, 0.000, 0.000, 0.000, -2.977, 0.000, -0.000, 18.16
0, 0, 0.000, 0.308, 0.000, 2.799, 0.029, 0.000, 0.000, 0.000, -3.136, 0.000, 0.000, 18.11
0, 0, 0.000, 0.299, 0.000, 2.802, 0.029, 0.000, 0.000, 0.000, -3.130, 0.000, 0.000, 18.09
0, 0, 0.000, 0.305, 0.000, 2.952, 0.031, 0.000, 0.000, 0.000, -3.289, 0.000, -0.000, 18.04
0, 0, 0.000, 0.296, 0.000, 2.955, 0.031, 0.000, 0.000, 0.000, -3.283, 0.000, -0.000, 18.02
0, 0, 0.000, 0.301, 0.000, 3.099, 0.033, 0.000, 0.000, 0.000, -3.433, 0.000, 0.000, 17.93
0, 0, 0.000, 0.291, 0.000, 3.094, 0.033, 0.000, 0.000, 0.000, -3.419, 0.000, 0.000, 17.89
0, 0, 0.000, 0.295, 0.000, 3.239, 0.035, 0.000, 0.000, 0.000, -3.570, 0.000, 0.000, 17.81
0, 0, 0.000, 0.286, 0.000, 3.236, 0.036, 0.000, 0.000, 0.000, -3.557, 0.000, -0.000, 17.76
0, 0, 0.000, 0.289, 0.000, 3.384, 0.038, 0.000, 0.000, 0.000, -3.711, 0.000, 0.000, 17.69
0, 0, 0.000, 0.279, 0.000, 3.381, 0.038, 0.000, 0.000, 0.000, -3.699, 0.000, -0.000, 17.65
0, 0, 0.000, 0.282, 0.000, 3.531, 0.040, 0.000, 0.000, 0.000, -3.853, 0.000, -0.000, 17.57
0, 0, 0.000, 0.272, 0.000, 3.530, 0.041, 0.000, 0.000, 0.000, -3.843, 0.000, 0.000, 17.54
0, 0, 0.000, 0.277, 0.000, 3.723, 0.044, 0.000, 0.000, 0.000, -4.044, -0.000, -0.000, 17.61
0, 0, 0.000, 0.268, 0.000, 3.726, 0.044, 0.000, 0.000, 0.000, -4.038, 0.000, 0.000, 17.59
0, 0, 0.000, 0.248, 0.000, 3.575, 0.041, 0.000, 0.000, 0.000, -3.865, -0.000, 0.000, 17.61
0, 0, 0.000, 0.229, 0.000, 3.425, 0.038, 0.000, 0.000, 0.000, -3.693, -0.000, -0.000, 17.63
0, 0, 0.000, 0.201, 0.000, 3.123, 0.032, 0.000, 0.000, 0.000, -3.357, -0.000, -0.000, 17.68
0, 0, 0.000, 0.185, 0.000, 2.974, 0.030, 0.000, 0.000, 0.000, -3.188, -0.000, -0.000, 17.71
0, 0, 0.000, 0.169, 0.000, 2.823, 0.028, 0.000, 0.000, 0.000, -3.021, -0.000, 0.000, 17.73
0, 0, 0.000, 0.171, 0.000, 2.978, 0.031, 0.000, 0.000, 0.000, -3.181, 0.000, -0.000, 17.68
0, 0, 0.000, 0.173, 0.000, 3.133, 0.034, 0.000, 0.000, 0.000, -3.340, 0.000, -0.000, 17.63
0, 0, 0.000, 0.166, 0.000, 3.135, 0.034, 0.000, 0.000, 0.000, -3.335, 0.000, -0.000, 17.61
0, 0, 0.000, 0.168, 0.000, 3.291, 0.036, 0.000, 0.000, 0.000, -3.495, 0.000, -0.000, 17.56
0, 0, 0.000, 0.161, 0.000, 3.292, 0.037, 0.000, 0.000, 0.000, -3.489, 0.000, -0.000, 17.54
0, 0, 0.000, 0.154, 0.000, 3.293, 0.037, 0.000, 0.000, 0.000, -3.483, 0.000, -0.000, 17.52
0, 0, 0.000, 0.154, 0.000, 3.450, 0.039, 0.000, 0.000, 0.000, -3.644, 0.000, -0.000, 17.47
0, 0, 0.000, 0.148, 0.000, 3.451, 0.039, 0.000, 0.000, 0.000, -3.637, 0.000, -0.000, 17.45
0, 0, 0.000, 0.141, 0.000, 3.451, 0.039, 0.000, 0.000, 0.000, -3.632, 0.000, 0.000, 17.43
0, 0, 0.000, 0.134, 0.000, 3.443, 0.039, 0.000, 0.000, 0.000, -3.616, 0.000, -0.000, 17.38
0, 0, 0.000, 0.127, 0.000, 3.434, 0.039, 0.000, 0.000, 0.000, -3.600, 0.000, -0.000, 17.33
0, 0, 0.000, 0.121, 0.000, 3.427, 0.039, 0.000, 0.000, 0.000, -3.587, 0.000, -0.000, 17.28
0, 0, 0.000, 0.114, 0.000, 3.421, 0.039, 0.000, 0.000, 0.000, -3.574, 0.000, 0.000, 17.24
0, 0, 0.000, 0.113, 0.000, 3.574, 0.042, 0.000, 0.000, 0.000, -3.729, 0.000, -0.000, 17.17
