Nombre espacio, Area(m2)
"P03_E09", 144.00
Horario Funcionamiento Equipo, Funcionamiento Real Equipo, Transmisión Muros Exteriores(W/m2 del espacio), Transmisión Muros Interiores(W/m2 del espacio), Transmisión Cubiertas(W/m2 del espacio), Transmisión Suelos(W/m2 del espacio), Transmisión Puentes Térmicos(W/m2 del espacio), Transmisión Ventanas(W/m2 del espacio), Radiación Ventanas(W/m2 del espacio), Fuentes internas(W/m2 del espacio), Carga de ventilación e infiltración(W/m2 del espacio), Energia Almacenada Aire(W/m2 del espacio), Carga Total(W/m2 del espacio), Temperatura aire (ºC)
0, 0, -0.484, -0.000, 0.000, 0.000, -0.139, -2.994, 1.496, 0.978, -0.640, 1.782, -0.000, 18.84
0, 0, -0.398, -0.000, 0.000, 0.000, -0.117, -2.519, 1.399, 0.927, -0.630, 1.338, 0.000, 18.70
0, 0, -0.346, -0.000, 0.000, 0.000, -0.105, -2.272, 1.317, 0.879, -0.663, 1.190, -0.000, 18.59
0, 0, -0.303, -0.000, 0.000, 0.000, -0.093, -2.006, 1.244, 0.834, -0.656, 0.979, -0.000, 18.49
0, 0, -0.279, -0.000, 0.000, 0.000, -0.087, -1.889, 1.177, 0.791, -0.691, 0.977, -0.000, 18.39
0, 0, -0.252, -0.000, 0.000, 0.000, -0.079, -1.708, 1.115, 0.751, -0.684, 0.856, 0.000, 18.30
0, 0, -0.238, -0.000, 0.000, 0.000, -0.076, -1.645, 1.057, 0.713, -0.720, 0.908, 0.000, 18.21
0, 0, -0.218, -0.000, 0.000, 0.000, -0.069, -1.500, 1.003, 0.677, -0.714, 0.820, -0.000, 18.13
0, 0, -0.202, -0.000, 0.000, 0.000, -0.064, -1.383, 0.952, 0.643, -0.708, 0.762, -0.000, 18.06
0, 0, -0.197, -0.000, 0.000, 0.000, -0.063, -1.364, 0.903, 0.611, -0.744, 0.854, -0.000, 17.97
1, 1, -1.679, -0.000, 0.000, 0.000, -0.530, -11.542, 0.858, 5.248, -10.795, -20.300, -38.739, 20.00
1, 1, -1.635, -0.000, 0.000, 0.000, -0.512, -11.161, 0.814, 5.455, -10.795, 0.000, -17.834, 20.00
1, 1, -1.611, -0.000, 0.000, 0.000, -0.500, -10.894, 0.851, 5.604, -10.795, 0.000, -17.346, 20.00
1, 1, -1.604, -0.000, 0.000, 0.000, -0.477, -10.375, 1.439, 5.725, -10.284, 0.000, -15.578, 20.00
1, 1, -1.611, -0.000, 0.000, 0.000, -0.438, -9.437, 2.399, 5.830, -8.763, 0.000, -12.020, 20.00
1, 1, -1.612, -0.000, 0.000, 0.000, -0.407, -8.696, 3.157, 5.927, -7.759, 0.000, -9.390, 20.00
1, 1, -1.602, -0.000, 0.000, 0.000, -0.389, -8.312, 3.175, 6.016, -7.260, 0.000, -8.371, 20.00
1, 1, -1.578, -0.000, 0.000, 0.000, -0.363, -7.694, 3.890, 6.100, -6.763, 0.000, -6.408, 20.00
0, 0, -1.279, -0.000, 0.000, 0.000, -0.283, -5.999, 3.955, 1.510, -0.499, 2.595, 0.000, 19.74
0, 0, -1.024, -0.000, 0.000, 0.000, -0.239, -5.111, 2.925, 1.349, -0.521, 2.621, -0.000, 19.48
0, 0, -0.807, -0.000, 0.000, 0.000, -0.199, -4.282, 2.046, 1.243, -0.544, 2.543, 0.000, 19.22
0, 0, -0.637, -0.000, 0.000, 0.000, -0.165, -3.563, 1.546, 1.162, -0.569, 2.225, -0.000, 19.00
0, 0, -0.508, -0.000, 0.000, 0.000, -0.138, -2.988, 1.226, 1.094, -0.596, 1.911, -0.000, 18.81
0, 0, -0.413, -0.000, 0.000, 0.000, -0.114, -2.480, 1.138, 1.034, -0.586, 1.421, 0.000, 18.67
0, 0, -0.354, -0.000, 0.000, 0.000, -0.102, -2.207, 1.069, 0.979, -0.619, 1.235, 0.000, 18.54
0, 0, -0.305, -0.000, 0.000, 0.000, -0.089, -1.926, 1.008, 0.927, -0.611, 0.995, -0.000, 18.45
0, 0, -0.270, -0.000, 0.000, 0.000, -0.079, -1.719, 0.954, 0.879, -0.605, 0.841, 0.000, 18.36
0, 0, -0.252, -0.000, 0.000, 0.000, -0.075, -1.642, 0.903, 0.834, -0.640, 0.873, -0.000, 18.27
0, 0, -0.228, -0.000, 0.000, 0.000, -0.068, -1.489, 0.857, 0.792, -0.635, 0.773, 0.000, 18.20
0, 0, -0.218, -0.000, 0.000, 0.000, -0.066, -1.447, 0.812, 0.751, -0.670, 0.837, 0.000, 18.11
0, 0, -0.199, -0.000, 0.000, 0.000, -0.060, -1.318, 0.771, 0.713, -0.665, 0.758, 0.000, 18.04
0, 0, -0.192, -0.000, 0.000, 0.000, -0.059, -1.293, 0.732, 0.677, -0.701, 0.835, -0.000, 17.95
0, 0, -0.175, -0.000, 0.000, 0.000, -0.054, -1.177, 0.695, 0.643, -0.695, 0.763, -0.000, 17.88
0, 0, -0.170, -0.000, 0.000, 0.000, -0.053, -1.163, 0.660, 0.611, -0.731, 0.847, -0.000, 17.79
1, 1, -1.791, -0.000, 0.000, 0.000, -0.557, -12.175, 0.626, 5.249, -10.795, -22.073, -41.516, 20.00
1, 1, -1.731, -0.000, 0.000, 0.000, -0.545, -11.916, 0.595, 5.455, -11.308, 0.000, -19.449, 20.00
1, 1, -1.699, -0.000, 0.000, 0.000, -0.532, -11.636, 0.604, 5.604, -11.308, 0.000, -18.968, 20.00
1, 1, -1.686, -0.000, 0.000, 0.000, -0.511, -11.178, 0.889, 5.725, -10.795, 0.000, -17.557, 20.00
1, 1, -1.677, -0.000, 0.000, 0.000, -0.493, -10.750, 1.128, 5.830, -10.284, 0.000, -16.245, 20.00
1, 1, -1.676, -0.000, 0.000, 0.000, -0.467, -10.125, 2.147, 5.927, -9.775, 0.000, -13.968, 20.00
1, 1, -1.675, -0.000, 0.000, 0.000, -0.437, -9.449, 2.729, 6.016, -8.763, 0.000, -11.579, 20.00
1, 1, -1.664, -0.000, 0.000, 0.000, -0.420, -9.076, 2.752, 6.100, -8.260, 0.000, -10.568, 20.00
0, 0, -1.193, -0.000, 0.000, 0.000, -0.304, -6.574, 2.154, 1.510, -0.646, 5.053, -0.000, 19.49
0, 0, -0.899, -0.000, 0.000, 0.000, -0.229, -4.966, 1.936, 1.349, -0.621, 3.431, -0.000, 19.15
0, 0, -0.697, -0.000, 0.000, 0.000, -0.183, -3.982, 1.550, 1.243, -0.643, 2.712, -0.000, 18.88
0, 0, -0.542, -0.000, 0.000, 0.000, -0.145, -3.162, 1.096, 1.162, -0.627, 2.218, -0.000, 18.66
0, 0, -0.436, -0.000, 0.000, 0.000, -0.120, -2.628, 0.883, 1.094, -0.655, 1.862, -0.000, 18.47
0, 0, -0.360, -0.000, 0.000, 0.000, -0.103, -2.239, 0.787, 1.034, -0.685, 1.566, -0.000, 18.32
0, 0, -0.299, -0.000, 0.000, 0.000, -0.086, -1.882, 0.738, 0.979, -0.676, 1.228, 0.000, 18.19
0, 0, -0.265, -0.000, 0.000, 0.000, -0.078, -1.710, 0.695, 0.927, -0.710, 1.141, -0.000, 18.08
0, 0, -0.231, -0.000, 0.000, 0.000, -0.069, -1.499, 0.658, 0.879, -0.703, 0.964, -0.000, 17.98
0, 0, -0.215, -0.000, 0.000, 0.000, -0.065, -1.420, 0.623, 0.834, -0.737, 0.980, -0.000, 17.88
0, 0, -0.192, -0.000, 0.000, 0.000, -0.058, -1.271, 0.590, 0.792, -0.731, 0.870, -0.000, 17.80
0, 0, -0.183, -0.000, 0.000, 0.000, -0.056, -1.233, 0.560, 0.751, -0.766, 0.927, -0.000, 17.70
0, 0, -0.174, -0.000, 0.000, 0.000, -0.054, -1.189, 0.531, 0.713, -0.802, 0.974, -0.000, 17.61
0, 0, -0.156, -0.000, 0.000, 0.000, -0.049, -1.064, 0.504, 0.677, -0.795, 0.882, -0.000, 17.52
0, 0, -0.151, -0.000, 0.000, 0.000, -0.048, -1.044, 0.479, 0.643, -0.830, 0.951, -0.000, 17.42
0, 0, -0.145, -0.000, 0.000, 0.000, -0.046, -1.015, 0.455, 0.611, -0.866, 1.006, 0.000, 17.32
1, 1, -2.065, -0.000, 0.000, 0.000, -0.656, -14.408, 0.432, 5.249, -12.860, -26.763, -51.071, 20.00
1, 1, -1.994, -0.000, 0.000, 0.000, -0.640, -14.062, 0.410, 5.455, -13.381, 0.000, -24.212, 20.00
1, 1, -1.959, -0.000, 0.000, 0.000, -0.624, -13.716, 0.467, 5.604, -13.381, 0.000, -23.609, 20.00
1, 1, -1.955, -0.000, 0.000, 0.000, -0.592, -12.937, 1.159, 5.725, -12.340, 0.000, -20.940, 20.00
1, 1, -1.957, -0.000, 0.000, 0.000, -0.558, -12.150, 1.916, 5.830, -11.308, 0.000, -18.227, 20.00
1, 1, -1.963, -0.000, 0.000, 0.000, -0.524, -11.323, 2.820, 5.927, -10.284, 0.000, -15.347, 20.00
1, 1, -1.977, -0.000, 0.000, 0.000, -0.482, -10.262, 3.942, 6.016, -8.763, 0.000, -11.526, 20.00
1, 1, -1.865, -0.000, 0.000, 0.000, -0.421, -8.705, 5.384, 6.100, -7.759, 0.000, -7.266, 20.00
0, 0, -1.545, -0.000, 0.000, 0.000, -0.326, -6.874, 5.286, 1.510, -0.582, 2.531, 0.000, 19.75
0, 0, -1.341, -0.000, 0.000, 0.000, -0.289, -6.078, 4.781, 1.349, -0.566, 2.145, -0.000, 19.53
0, 0, -1.370, -0.000, 0.000, 0.000, -0.295, -5.954, 6.900, 1.243, -0.607, 0.084, -0.000, 19.52
0, 0, -1.028, -0.000, 0.000, 0.000, -0.249, -5.363, 2.410, 1.162, -0.621, 3.690, -0.000, 19.16
0, 0, -0.769, -0.000, 0.000, 0.000, -0.197, -4.267, 1.714, 1.094, -0.641, 3.066, 0.000, 18.85
0, 0, -0.594, -0.000, 0.000, 0.000, -0.160, -3.462, 1.515, 1.034, -0.665, 2.333, -0.000, 18.62
0, 0, -0.473, -0.000, 0.000, 0.000, -0.130, -2.829, 1.402, 0.979, -0.653, 1.705, 0.000, 18.44
