ProyectoEdificio, c:\proyectoscteycee\ctehe2019\proyectos\ejemplopmt_fotovoltaica\newbdl_ds.xml, zonaC2.bin

BDC_AIREAGUA, SIS5_EQ1_EQ_ED_AireAgua_BDC-ACS-Defecto
demandaACS, 1422266.4 ,1261191.6 ,1370436.9 ,1252498.6 ,1242411.6 ,1127096.4 ,1112835.1 ,1112835.1 ,1127096.4 ,1266773.8 ,1301148.9 ,1396350.4 ,
nhCortaRef ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0
nhCortaCal ,7 ,4 ,2 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,4
QRefSen ,44277.07 ,50517.01 ,138881.94 ,208412.31 ,326406.62 ,278440.88 ,482915.84 ,511590.28 ,260637.81 ,212976.56 ,68279.79 ,34858.496
QCalSen ,320563.5 ,222290.12 ,89780.08 ,10751.631 ,15820.551 ,0.0 ,0.0 ,0.0 ,1697.1191 ,7773.9814 ,139412.36 ,339472.0
QRefNoCubierta ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0
QCalNoCubierta ,13695.865 ,6256.959 ,2770.9702 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,8469.148
FinESPACIO
  
ESPACIO   , P02_E03
nhFuncionaRef ,248 ,224 ,248 ,240 ,248 ,240 ,248 ,248 ,240 ,248 ,240 ,248
nhFuncionaCal ,248 ,224 ,248 ,240 ,248 ,240 ,248 ,248 ,240 ,248 ,240 ,248
nhCortaRef ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0
nhCortaCal ,8 ,1 ,3 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,4
QRefSen ,10935.972 ,24901.906 ,104574.945 ,173855.95 ,341638.53 ,488666.72 ,736732.6 ,673745.7 ,338449.56 ,203517.88 ,50883.227 ,12013.316
QCalSen ,333062.53 ,205786.81 ,90301.695 ,9823.84 ,4848.6514 ,0.0 ,0.0 ,0.0 ,994.0742 ,5637.4717 ,126006.914 ,327217.38
QRefNoCubierta ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0
QCalNoCubierta ,16342.729 ,2733.9263 ,3615.165 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,8463.734
FinESPACIO
  
ESPACIO   , P02_E04
nhFuncionaRef ,248 ,224 ,248 ,240 ,248 ,240 ,248 ,248 ,240 ,248 ,240 ,248
nhFuncionaCal ,248 ,224 ,248 ,240 ,248 ,240 ,248 ,248 ,240 ,248 ,240 ,248
nhCortaRef ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0
nhCortaCal ,5 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,3
QRefSen ,16327.675 ,28150.068 ,139753.0 ,199722.86 ,390743.3 ,310060.28 ,529491.8 ,503828.56 ,272593.66 ,225922.78 ,67556.61 ,15409.468
QCalSen ,297447.88 ,175578.73 ,61250.43 ,5660.329 ,5665.4688 ,0.0 ,0.0 ,0.0 ,2203.963 ,3490.2227 ,92053.75 ,294439.0
QRefNoCubierta ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0
QCalNoCubierta ,10565.287 ,2496.9897 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,5701.224
FinESPACIO
  
ESPACIO   , P02_E05
nhFuncionaRef ,248 ,224 ,248 ,240 ,248 ,240 ,248 ,248 ,240 ,248 ,240 ,248
nhFuncionaCal ,248 ,224 ,248 ,240 ,248 ,240 ,248 ,248 ,240 ,248 ,240 ,248
nhCortaRef ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0
nhCortaCal ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0
QRefSen ,109282.71 ,115965.68 ,288008.97 ,398379.7 ,471407.44 ,490001.97 ,552723.94 ,552117.25 ,486204.28 ,491790.22 ,268778.44 ,159720.17
QCalSen ,95245.99 ,52520.684 ,21492.432 ,654.6797 ,7285.7734 ,2867.8945 ,510.33594 ,9.5859375 ,8809.855 ,823.78516 ,12276.887 ,81384.87
QRefNoCubierta ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0
QCalNoCubierta ,2210.4695 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0
FinESPACIO
  
ESPACIO   , P03_E06
nhFuncionaRef ,248 ,224 ,248 ,240 ,248 ,240 ,248 ,248 ,240 ,248 ,240 ,248
nhFuncionaCal ,248 ,224 ,248 ,240 ,248 ,240 ,248 ,248 ,240 ,248 ,240 ,248
nhCortaRef ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0
nhCortaCal ,2 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1
QRefSen ,166134.97 ,126020.24 ,211470.5 ,187947.9 ,314447.38 ,374478.72 ,623714.2 ,646553.94 ,390572.47 ,303370.47 ,238101.66 ,166525.89
QCalSen ,148453.84 ,102209.055 ,40457.773 ,7988.795 ,8802.972 ,0.0 ,0.0 ,0.0 ,486.01562 ,219.22852 ,26467.318 ,132967.05
QRefNoCubierta ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0
QCalNoCubierta ,4530.95 ,1813.0562 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,2272.623
FinESPACIO
  
ESPACIO   , P03_E07
nhFuncionaRef ,248 ,224 ,248 ,240 ,248 ,240 ,248 ,248 ,240 ,248 ,240 ,248
nhFuncionaCal ,248 ,224 ,248 ,240 ,248 ,240 ,248 ,248 ,240 ,248 ,240 ,248
nhCortaRef ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0
