BDCAIREAGUA,BDCAIREAGUA,BDCAIREAGUA,BDCAIREAGUA,SPLITUNIDADEXTERIOR,SPLITUNIDADEXTERIOR,SPLITUNIDADEXTERIOR,SPLITUNIDADEXTERIOR,SPLITUNIDADEXTERIOR,SPLITUNIDADEXTERIOR,SPLITUNIDADEXTERIOR,SPLITUNIDADEXTERIOR,SPLITUNIDADEXTERIOR,SPLITUNIDADEXTERIOR,SPLITUNIDADEXTERIOR,SPLITUNIDADEXTERIOR,SPLITUNIDADEXTERIOR,SPLITUNIDADEXTERIOR,SPLITUNIDADEXTERIOR,SPLITUNIDADEXTERIOR
SIS5_EQ1_EQ_ED_AireAgua_BDC-ACS-Defecto,SIS5_EQ1_EQ_ED_AireAgua_BDC-ACS-Defecto,SIS5_EQ1_EQ_ED_AireAgua_BDC-ACS-Defecto,SIS5_EQ1_EQ_ED_AireAgua_BDC-ACS-Defecto,SIS6_EQ1_EQ_ED_UnidadExterior-Defecto,SIS6_EQ1_EQ_ED_UnidadExterior-Defecto,SIS6_EQ1_EQ_ED_UnidadExterior-Defecto,SIS6_EQ1_EQ_ED_UnidadExterior-Defecto,SIS2_EQ1_EQ_ED_UnidadExterior-Defecto,SIS2_EQ1_EQ_ED_UnidadExterior-Defecto,SIS2_EQ1_EQ_ED_UnidadExterior-Defecto,SIS2_EQ1_EQ_ED_UnidadExterior-Defecto,SIS3_EQ2_EQ_ED_UnidadExterior-Defecto,SIS3_EQ2_EQ_ED_UnidadExterior-Defecto,SIS3_EQ2_EQ_ED_UnidadExterior-Defecto,SIS3_EQ2_EQ_ED_UnidadExterior-Defecto,SIS4_EQ3_EQ_ED_UnidadExterior-Defecto,SIS4_EQ3_EQ_ED_UnidadExterior-Defecto,SIS4_EQ3_EQ_ED_UnidadExterior-Defecto,SIS4_EQ3_EQ_ED_UnidadExterior-Defecto
ConsumoACS,ConsumoCAL,ConsumoREF,Energía Suministrada,conCal,conRef,potCal,potTotRef,conCal,conRef,potCal,potTotRef,conCal,conRef,potCal,potTotRef,conCal,conRef,potCal,potTotRef
Consumo horario en W asociado a ACS (prorrateando con la demanda),Consumo horario en W asociado a la calefacción (prorrateando con la demanda),Consumo horario en W asociado a refrigeración,Energía Suministrada en W,Consumo horario eléctrico en W para producir calefacción,Consumo horario eléctrico en W para producir refrigeración,Potencia horaria entregada W para calefacción,Potencia horaria entregada W para refrigeración,Consumo horario eléctrico en W para producir calefacción,Consumo horario eléctrico en W para producir refrigeración,Potencia horaria entregada W para calefacción,Potencia horaria entregada W para refrigeración,Consumo horario eléctrico en W para producir calefacción,Consumo horario eléctrico en W para producir refrigeración,Potencia horaria entregada W para calefacción,Potencia horaria entregada W para refrigeración,Consumo horario eléctrico en W para producir calefacción,Consumo horario eléctrico en W para producir refrigeración,Potencia horaria entregada W para calefacción,Potencia horaria entregada W para refrigeración
Electricidad,Electricidad,Electricidad,Electricidad,Electricidad,Electricidad,Electricidad,Electricidad,Electricidad,Electricidad,Electricidad,Electricidad,Electricidad,Electricidad,Electricidad,Electricidad,Electricidad,Electricidad,Electricidad,Electricidad
146.03 ,  0.00 ,  0.00 , 442.08 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 
 0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 
 0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 
 0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 
 0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 
147.33 ,  0.00 ,  0.00 , 442.08 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 
438.60 ,  0.00 ,  0.00 , 1326.23 , 2205.88 ,  0.00 , 3771.86 ,  0.00 , 1915.91 ,  0.00 , 2471.54 ,  0.00 , 1915.89 ,  0.00 , 2471.47 ,  0.00 , 2716.98 ,  0.00 , 6085.04 ,  0.00 
1442.15 ,  0.00 ,  0.00 , 4420.77 , 2523.33 ,  0.00 , 5490.38 ,  0.00 , 2199.73 ,  0.00 , 3976.42 ,  0.00 , 2206.31 ,  0.00 , 4007.09 ,  0.00 , 3019.11 ,  0.00 , 7830.85 ,  0.00 
1007.02 ,  0.00 ,  0.00 , 3094.54 , 2758.13 ,  0.00 , 6656.77 ,  0.00 , 2446.01 ,  0.00 , 5179.00 ,  0.00 , 2457.45 ,  0.00 , 5233.01 ,  0.00 , 3076.56 ,  0.00 , 8174.58 ,  0.00 
998.55 ,  0.00 ,  0.00 , 3094.54 , 2631.84 ,  0.00 , 6243.69 ,  0.00 , 2348.46 ,  0.00 , 4876.93 ,  0.00 , 2343.07 ,  0.00 , 4851.00 ,  0.00 , 2858.91 ,  0.00 , 7345.01 ,  0.00 
841.90 ,  0.00 ,  0.00 , 2652.46 , 2272.98 ,  0.00 , 4811.36 ,  0.00 , 2013.51 ,  0.00 , 3519.15 ,  0.00 , 2008.57 ,  0.00 , 3494.62 ,  0.00 , 2434.77 ,  0.00 , 5621.13 ,  0.00 
835.15 ,  0.00 ,  0.00 , 2652.46 , 2187.99 ,  0.00 , 4525.47 ,  0.00 , 1929.65 ,  0.00 , 3216.66 ,  0.00 , 1915.79 ,  0.00 , 3146.70 ,  0.00 , 2319.67 ,  0.00 , 5195.75 ,  0.00 
697.56 ,  0.00 ,  0.00 , 2210.38 , 2318.11 ,  0.00 , 5141.89 ,  0.00 , 2007.72 ,  0.00 , 3574.51 ,  0.00 , 1993.33 ,  0.00 , 3502.11 ,  0.00 , 2437.60 ,  0.00 , 5748.37 ,  0.00 
697.56 ,  0.00 ,  0.00 , 2210.38 , 2304.06 ,  0.00 , 5070.67 ,  0.00 , 1990.38 ,  0.00 , 3487.27 ,  0.00 , 1977.27 ,  0.00 , 3421.37 ,  0.00 , 2401.31 ,  0.00 , 5564.00 ,  0.00 
556.76 ,  0.00 ,  0.00 , 1768.31 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 
414.27 ,  0.00 ,  0.00 , 1326.23 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 
548.07 ,  0.00 ,  0.00 , 1768.31 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 
543.87 ,  0.00 ,  0.00 , 1768.31 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 
680.54 ,  0.00 ,  0.00 , 2210.38 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 
950.67 ,  0.00 ,  0.00 , 3094.54 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 
813.08 ,  0.00 ,  0.00 , 2652.46 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 
815.71 ,  0.00 ,  0.00 , 2652.46 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 
679.76 ,  0.00 ,  0.00 , 2210.38 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 
679.76 ,  0.00 ,  0.00 , 2210.38 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 
135.65 ,  0.00 ,  0.00 , 442.08 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 
 0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 
 0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 
 0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 
 0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 
136.25 ,  0.00 ,  0.00 , 442.08 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 
406.08 ,  0.00 ,  0.00 , 1326.23 , 3201.58 ,  0.00 , 10601.82 ,  0.00 , 2602.76 ,  0.00 , 7294.27 ,  0.00 , 2676.87 ,  0.00 , 7701.28 ,  0.00 , 3487.88 ,  0.00 , 12197.22 ,  0.00 
1337.75 ,  0.00 ,  0.00 , 4420.77 , 2681.82 ,  0.00 , 8009.18 ,  0.00 , 2191.96 ,  0.00 , 5259.20 ,  0.00 , 2241.60 ,  0.00 , 5536.38 ,  0.00 , 2643.07 ,  0.00 , 7790.52 ,  0.00 
922.89 ,  0.00 ,  0.00 , 3094.54 , 2255.60 ,  0.00 , 5877.22 ,  0.00 , 1829.32 ,  0.00 , 3432.19 ,  0.00 , 1847.41 ,  0.00 , 3535.43 ,  0.00 , 2162.43 ,  0.00 , 5340.54 ,  0.00 
907.25 ,  0.00 ,  0.00 , 3094.54 , 1913.09 ,  0.00 , 4141.81 ,  0.00 , 1570.25 ,  0.00 , 2122.08 ,  0.00 , 1609.70 ,  0.00 , 2353.53 ,  0.00 , 1756.27 ,  0.00 , 3215.60 ,  0.00 
773.83 ,  0.00 ,  0.00 , 2652.46 , 1763.89 ,  0.00 , 3316.97 ,  0.00 , 1439.96 ,  0.00 , 1397.73 ,  0.00 , 1462.18 ,  0.00 , 1528.84 ,  0.00 , 1624.34 ,  0.00 , 2488.03 ,  0.00 
773.09 ,  0.00 ,  0.00 , 2652.46 , 1593.66 ,  0.00 , 2312.02 ,  0.00 , 1319.35 ,  0.00 , 691.55 ,  0.00 , 1375.88 ,  0.00 , 1024.45 ,  0.00 , 1489.29 ,  0.00 , 1693.96 ,  0.00 
639.28 ,  0.00 ,  0.00 , 2210.38 , 1287.45 ,  0.00 , 548.82 ,  0.00 , 1222.12 ,  0.00 , 159.56 ,  0.00 , 1235.38 ,  0.00 , 238.47 ,  0.00 , 1297.04 ,  0.00 , 606.02 ,  0.00 
640.53 ,  0.00 ,  0.00 , 2210.38 , 1252.80 ,  0.00 , 330.66 ,  0.00 , 1203.26 ,  0.00 , 36.89 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 , 1284.28 ,  0.00 , 517.58 ,  0.00 
514.43 ,  0.00 ,  0.00 , 1768.31 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 
386.58 ,  0.00 ,  0.00 , 1326.23 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 
519.01 ,  0.00 ,  0.00 , 1768.31 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 
522.66 ,  0.00 ,  0.00 , 1768.31 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 
656.62 ,  0.00 ,  0.00 , 2210.38 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 
925.89 ,  0.00 ,  0.00 , 3094.54 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 
797.74 ,  0.00 ,  0.00 , 2652.46 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 
805.35 ,  0.00 ,  0.00 , 2652.46 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 
677.65 ,  0.00 ,  0.00 , 2210.38 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 
679.14 ,  0.00 ,  0.00 , 2210.38 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 
137.49 ,  0.00 ,  0.00 , 442.08 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 
 0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 
 0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 
 0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 
 0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 
147.50 ,  0.00 ,  0.00 , 442.08 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 
450.61 ,  0.00 ,  0.00 , 1326.23 , 5600.09 ,  0.00 , 18022.09 ,  0.00 , 4848.79 ,  0.00 , 14709.25 ,  0.00 , 4970.59 ,  0.00 , 15244.66 ,  0.00 , 6051.96 ,  0.00 , 20024.38 ,  0.00 
1492.28 ,  0.00 ,  0.00 , 4420.77 , 4468.77 ,  0.00 , 13309.60 ,  0.00 , 3896.02 ,  0.00 , 10773.38 ,  0.00 , 3941.84 ,  0.00 , 10975.47 ,  0.00 , 4428.47 ,  0.00 , 13130.48 ,  0.00 
1019.64 ,  0.00 ,  0.00 , 3094.54 , 3553.07 ,  0.00 , 10032.26 ,  0.00 , 2980.08 ,  0.00 , 7372.61 ,  0.00 , 3023.19 ,  0.00 , 7571.69 ,  0.00 , 3443.45 ,  0.00 , 9521.23 ,  0.00 
984.69 ,  0.00 ,  0.00 , 3094.54 , 2381.33 ,  0.00 , 5282.85 ,  0.00 , 1937.52 ,  0.00 , 3091.00 ,  0.00 , 1976.86 ,  0.00 , 3284.36 ,  0.00 , 2249.75 ,  0.00 , 4630.58 ,  0.00 
827.80 ,  0.00 ,  0.00 , 2652.46 , 2007.50 ,  0.00 , 3723.17 ,  0.00 , 1691.90 ,  0.00 , 2104.45 ,  0.00 , 1694.24 ,  0.00 , 2116.39 ,  0.00 , 1893.62 ,  0.00 , 3137.55 ,  0.00 
818.69 ,  0.00 ,  0.00 , 2652.46 , 1715.79 ,  0.00 , 2352.59 ,  0.00 , 1514.75 ,  0.00 , 1301.91 ,  0.00 , 1502.84 ,  0.00 , 1239.81 ,  0.00 , 1696.67 ,  0.00 , 2252.39 ,  0.00 
676.37 ,  0.00 ,  0.00 , 2210.38 , 1488.38 ,  0.00 , 1238.70 ,  0.00 , 1367.91 ,  0.00 , 600.45 ,  0.00 , 1371.83 ,  0.00 , 621.15 ,  0.00 , 1455.48 ,  0.00 , 1064.17 ,  0.00 
669.21 ,  0.00 ,  0.00 , 2210.38 , 1287.76 ,  0.00 , 245.48 ,  0.00 , 1293.26 ,  0.00 , 275.20 ,  0.00 , 1337.77 ,  0.00 , 515.74 ,  0.00 , 1392.20 ,  0.00 , 810.33 ,  0.00 
530.93 ,  0.00 ,  0.00 , 1768.31 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 
396.15 ,  0.00 ,  0.00 , 1326.23 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 
528.20 ,  0.00 ,  0.00 , 1768.31 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 
530.93 ,  0.00 ,  0.00 , 1768.31 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 
672.09 ,  0.00 ,  0.00 , 2210.38 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 
956.29 ,  0.00 ,  0.00 , 3094.54 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 
830.71 ,  0.00 ,  0.00 , 2652.46 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 
837.37 ,  0.00 ,  0.00 , 2652.46 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 
707.61 ,  0.00 ,  0.00 , 2210.38 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 
719.59 ,  0.00 ,  0.00 , 2210.38 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 
146.44 ,  0.00 ,  0.00 , 442.08 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 
 0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 
 0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 
 0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 
 0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 
156.11 ,  0.00 ,  0.00 , 442.08 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 
476.45 ,  0.00 ,  0.00 , 1326.23 , 5967.79 ,  0.00 , 16468.96 ,  0.00 , 5227.91 ,  0.00 , 13663.47 ,  0.00 , 5325.85 ,  0.00 , 14033.70 ,  0.00 , 6750.19 ,  0.00 , 19452.11 ,  0.00 
1550.18 ,  0.00 ,  0.00 , 4420.77 , 4637.09 ,  0.00 , 12392.72 ,  0.00 , 4159.71 ,  0.00 , 10484.79 ,  0.00 , 4175.44 ,  0.00 , 10547.46 ,  0.00 , 4790.35 ,  0.00 , 13007.81 ,  0.00 
1047.62 ,  0.00 ,  0.00 , 3094.54 , 3137.52 ,  0.00 , 7341.20 ,  0.00 , 2710.86 ,  0.00 , 5513.00 ,  0.00 , 2743.57 ,  0.00 , 5652.60 ,  0.00 , 3193.22 ,  0.00 , 7581.00 ,  0.00 
1018.69 ,  0.00 ,  0.00 , 3094.54 , 2279.49 ,  0.00 , 4152.79 ,  0.00 , 1988.21 ,  0.00 , 2834.83 ,  0.00 , 2042.96 ,  0.00 , 3081.84 ,  0.00 , 2297.34 ,  0.00 , 4233.82 ,  0.00 
843.27 ,  0.00 ,  0.00 , 2652.46 , 1610.35 ,  0.00 , 1485.40 ,  0.00 , 1517.85 ,  0.00 , 1035.95 ,  0.00 , 1542.47 ,  0.00 , 1155.47 ,  0.00 , 1710.05 ,  0.00 , 1971.08 ,  0.00 
822.51 ,  0.00 ,  0.00 , 2652.46 , 1335.39 ,  0.00 , 327.47 ,  0.00 , 1368.75 ,  0.00 , 498.27 ,  0.00 , 1422.13 ,  0.00 , 771.88 ,  0.00 , 1447.91 ,  0.00 , 904.18 ,  0.00 
669.32 ,  0.00 ,  0.00 , 2210.38 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 , 1277.60 ,  0.00 , 183.79 ,  0.00 , 1326.22 ,  0.00 , 445.84 ,  0.00 
658.98 ,  0.00 ,  0.00 , 2210.38 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 , 2149.30 ,  0.00 , 90.57 ,  0.00 , 2149.12 ,  0.00 , 136.86 ,  0.00 , 2148.65 ,  0.00 , 25.58 
521.88 ,  0.00 ,  0.00 , 1768.31 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 
391.41 ,  0.00 ,  0.00 , 1326.23 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 
521.88 ,  0.00 ,  0.00 , 1768.31 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 
529.90 ,  0.00 ,  0.00 , 1768.31 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 
