83.55 ,  0.00 , 83.55 ,  0.00 ,  0.00 ,  0.00 ,  0.00 
 0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 
 0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 
 0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 
 0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 
83.55 ,  0.00 , 83.55 ,  0.00 ,  0.00 ,  0.00 ,  0.00 
250.64 ,  0.00 , 250.64 ,  0.00 ,  0.00 ,  0.00 ,  0.00 
835.48 ,  0.00 , 835.48 ,  0.00 ,  0.00 ,  0.00 ,  0.00 
584.83 ,  0.00 , 584.83 ,  0.00 ,  0.00 ,  0.00 ,  0.00 
584.83 ,  0.00 , 584.83 ,  0.00 ,  0.00 ,  0.00 ,  0.00 
501.29 ,  0.00 , 501.29 ,  0.00 ,  0.00 ,  0.00 ,  0.00 
501.29 ,  0.00 , 501.29 ,  0.00 ,  0.00 ,  0.00 ,  0.00 
417.74 ,  0.00 , 417.74 ,  0.00 ,  0.00 ,  0.00 ,  0.00 
417.74 ,  0.00 , 417.74 ,  0.00 ,  0.00 ,  0.00 ,  0.00 
334.19 ,  0.00 , 334.19 ,  0.00 ,  0.00 ,  0.00 ,  0.00 
250.64 ,  0.00 , 250.64 ,  0.00 ,  0.00 ,  0.00 ,  0.00 
334.19 ,  0.00 , 334.19 ,  0.00 ,  0.00 ,  0.00 ,  0.00 
334.19 ,  0.00 , 334.19 ,  0.00 ,  0.00 ,  0.00 ,  0.00 
417.74 ,  0.00 , 417.74 ,  0.00 ,  0.00 ,  0.00 ,  0.00 
584.83 ,  0.00 , 584.83 ,  0.00 ,  0.00 ,  0.00 ,  0.00 
501.29 ,  0.00 , 501.29 ,  0.00 ,  0.00 ,  0.00 ,  0.00 
501.29 ,  0.00 , 501.29 ,  0.00 ,  0.00 ,  0.00 ,  0.00 
417.74 ,  0.00 , 417.74 ,  0.00 ,  0.00 ,  0.00 ,  0.00 
417.74 ,  0.00 , 417.74 ,  0.00 ,  0.00 ,  0.00 ,  0.00 
83.55 ,  0.00 , 83.55 ,  0.00 ,  0.00 ,  0.00 ,  0.00 
 0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 
 0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 
 0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 
 0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 
83.55 ,  0.00 , 83.55 ,  0.00 ,  0.00 ,  0.00 ,  0.00 
