Nombre espacio, Area(m2)
"P03_E01", 64.00
Horario Funcionamiento Equipo, Funcionamiento Real Equipo, Transmisión Muros Exteriores(W/m2 del espacio), Transmisión Muros Interiores(W/m2 del espacio), Transmisión Cubiertas(W/m2 del espacio), Transmisión Suelos(W/m2 del espacio), Transmisión Puentes Térmicos(W/m2 del espacio), Transmisión Ventanas(W/m2 del espacio), Radiación Ventanas(W/m2 del espacio), Fuentes internas(W/m2 del espacio), Carga de ventilación e infiltración(W/m2 del espacio), Energia Almacenada Aire(W/m2 del espacio), Carga Total(W/m2 del espacio), Temperatura aire (ºC)
1, 1, -1.964, -0.094, -3.203, 0.000, -3.681, -2.581, 0.719, 7.137, -2.649, 0.000, -6.317, 20.00
1, 1, -1.965, -0.091, -3.189, 0.000, -3.685, -2.589, 0.670, 7.302, -2.649, 0.000, -6.197, 20.00
1, 1, -1.965, -0.089, -3.176, 0.000, -3.686, -2.594, 0.627, 7.431, -2.649, 0.000, -6.102, 20.00
1, 0, -1.651, -0.050, -2.659, 0.000, -3.097, -2.183, 0.590, 5.769, -2.578, 5.858, -0.000, 19.61
1, 0, -1.351, -0.026, -2.170, 0.000, -2.536, -1.790, 0.557, 3.844, -2.505, 5.977, 0.000, 19.21
1, 0, -1.133, -0.014, -1.815, 0.000, -2.127, -1.504, 0.527, 3.679, -2.445, 4.833, -0.000, 18.89
1, 0, -0.971, -0.008, -1.552, 0.000, -1.823, -1.290, 0.500, 3.579, -2.397, 3.962, 0.000, 18.62
1, 0, -0.866, -0.004, -1.363, 0.000, -1.626, -1.153, 0.475, 3.508, -2.461, 3.491, 0.000, 18.39
1, 0, -0.770, -0.002, -1.208, 0.000, -1.445, -1.025, 0.452, 3.452, -2.425, 2.971, -0.000, 18.19
1, 0, -0.695, -0.001, -1.089, 0.000, -1.305, -0.927, 0.431, 3.406, -2.393, 2.575, -0.000, 18.02
1, 0, -0.638, -0.000, -0.997, 0.000, -1.197, -0.851, 0.412, 3.366, -2.365, 2.272, -0.000, 17.87
