Nombre espacio, Area(m2)
"P04_E05", 35.19
Horario Funcionamiento Equipo, Funcionamiento Real Equipo, Transmisión Muros Exteriores(W/m2 del espacio), Transmisión Muros Interiores(W/m2 del espacio), Transmisión Cubiertas(W/m2 del espacio), Transmisión Suelos(W/m2 del espacio), Transmisión Puentes Térmicos(W/m2 del espacio), Transmisión Ventanas(W/m2 del espacio), Radiación Ventanas(W/m2 del espacio), Fuentes internas(W/m2 del espacio), Carga de ventilación e infiltración(W/m2 del espacio), Energia Almacenada Aire(W/m2 del espacio), Carga Total(W/m2 del espacio), Temperatura aire (ºC)
1, 1, -0.986, -0.001, -2.445, 0.000, -0.810, -1.866, 0.518, 6.989, -4.018, 0.000, -2.619, 20.00
1, 1, -0.982, -0.001, -2.433, 0.000, -0.826, -1.907, 0.463, 7.229, -4.227, 0.000, -2.683, 20.00
1, 1, -0.979, -0.001, -2.417, 0.000, -0.830, -1.918, 0.418, 7.427, -4.227, 0.000, -2.527, 20.00
1, 0, -0.742, -0.000, -1.825, 0.000, -0.642, -1.486, 0.380, 5.987, -4.372, 2.699, -0.000, 19.82
1, 0, -0.515, -0.000, -1.260, 0.000, -0.448, -1.038, 0.349, 4.254, -4.300, 2.959, 0.000, 19.62
1, 0, -0.372, -0.000, -0.906, 0.000, -0.325, -0.753, 0.322, 4.052, -4.247, 2.229, 0.000, 19.47
1, 0, -0.272, -0.000, -0.659, 0.000, -0.242, -0.561, 0.300, 3.897, -4.410, 1.946, -0.000, 19.34
1, 0, -0.202, -0.000, -0.486, 0.000, -0.180, -0.418, 0.280, 3.774, -4.371, 1.604, 0.000, 19.24
1, 0, -0.154, -0.000, -0.368, 0.000, -0.137, -0.318, 0.264, 3.674, -4.338, 1.377, -0.000, 19.15
1, 0, -0.119, -0.000, -0.282, 0.000, -0.106, -0.246, 0.249, 3.592, -4.308, 1.221, -0.000, 19.06
1, 0, -0.087, 0.000, -0.205, 0.000, -0.078, -0.182, 0.236, 3.524, -4.488, 1.281, -0.000, 18.98
1, 1, -1.448, -0.001, -3.397, 0.000, -1.304, -3.038, 0.224, 3.537, -4.860, -15.315, -25.603, 20.00
1, 1, -1.383, -0.001, -3.224, 0.000, -1.240, -2.890, 0.249, 3.497, -4.860, 0.000, -9.851, 20.00
1, 1, -1.337, -0.001, -3.098, 0.000, -1.142, -2.655, 0.479, 3.463, -4.437, 0.000, -8.729, 20.00
1, 1, -1.301, -0.001, -2.997, 0.000, -1.029, -2.357, 1.061, 3.433, -4.018, 0.000, -7.208, 20.00
1, 1, -1.270, -0.001, -2.912, 0.000, -0.932, -2.139, 1.306, 3.408, -3.602, 0.000, -6.142, 20.00
1, 1, -1.244, -0.001, -2.844, 0.000, -0.882, -2.030, 1.297, 3.385, -3.395, 0.000, -5.713, 20.00
1, 1, -1.216, -0.001, -2.784, 0.000, -0.807, -1.866, 1.586, 3.366, -3.189, 0.000, -4.910, 20.00
1, 1, -1.189, -0.001, -2.734, 0.000, -0.765, -1.757, 1.635, 3.348, -2.984, 0.000, -4.446, 20.00
1, 1, -1.166, -0.001, -2.701, 0.000, -0.794, -1.820, 1.262, 3.592, -3.189, 0.000, -4.817, 20.00
1, 1, -1.144, -0.001, -2.674, 0.000, -0.818, -1.879, 0.973, 3.606, -3.395, 0.000, -5.330, 20.00
1, 1, -1.122, -0.001, -2.649, 0.000, -0.841, -1.934, 0.755, 3.615, -3.602, 0.000, -5.778, 20.00
1, 1, -1.102, -0.000, -2.622, 0.000, -0.848, -1.950, 0.593, 4.471, -3.602, 0.000, -5.060, 20.00
1, 1, -1.086, -0.000, -2.598, 0.000, -0.863, -1.987, 0.521, 6.691, -3.810, 0.000, -3.131, 20.00
1, 1, -1.073, -0.000, -2.576, 0.000, -0.878, -2.027, 0.463, 6.995, -4.018, 0.000, -3.116, 20.00
1, 1, -1.063, -0.000, -2.552, 0.000, -0.883, -2.036, 0.415, 7.235, -4.018, 0.000, -2.901, 20.00
1, 1, -1.057, -0.000, -2.535, 0.000, -0.899, -2.079, 0.376, 7.433, -4.227, 0.000, -2.989, 20.00
1, 0, -0.790, -0.000, -1.890, 0.000, -0.689, -1.594, 0.343, 5.993, -4.365, 2.992, 0.000, 19.80
1, 0, -0.546, -0.000, -1.300, 0.000, -0.480, -1.111, 0.316, 4.259, -4.289, 3.151, 0.000, 19.59
1, 0, -0.386, -0.000, -0.913, 0.000, -0.345, -0.801, 0.293, 4.057, -4.438, 2.534, -0.000, 19.42
1, 0, -0.273, -0.000, -0.643, 0.000, -0.249, -0.579, 0.273, 3.902, -4.597, 2.165, 0.000, 19.28
1, 0, -0.189, -0.000, -0.443, 0.000, -0.176, -0.409, 0.256, 3.779, -4.761, 1.944, -0.000, 19.15
1, 0, -0.123, -0.000, -0.286, 0.000, -0.117, -0.272, 0.241, 3.679, -4.930, 1.809, -0.000, 19.03
1, 0, -0.069, 0.000, -0.159, 0.000, -0.066, -0.155, 0.228, 3.596, -5.101, 1.728, 0.000, 18.91
1, 0, -0.028, 0.000, -0.064, 0.000, -0.027, -0.063, 0.216, 3.529, -5.065, 1.503, -0.000, 18.81
1, 1, -1.565, -0.001, -3.538, 0.000, -1.522, -3.564, 0.205, 3.542, -5.715, -17.825, -29.984, 20.00
1, 1, -1.496, -0.001, -3.349, 0.000, -1.449, -3.395, 0.232, 3.502, -5.715, 0.000, -11.672, 20.00
1, 1, -1.451, -0.001, -3.216, 0.000, -1.367, -3.201, 0.373, 3.467, -5.500, 0.000, -10.896, 20.00
1, 1, -1.420, -0.000, -3.116, 0.000, -1.248, -2.894, 0.927, 3.438, -5.073, 0.000, -9.387, 20.00
1, 1, -1.395, -0.000, -3.034, 0.000, -1.156, -2.691, 1.070, 3.412, -4.648, 0.000, -8.442, 20.00
1, 1, -1.374, -0.000, -2.968, 0.000, -1.015, -2.385, 1.637, 3.389, -4.227, 0.000, -6.943, 20.00
