CALDERA,CALDERA,CALDERA
SIS2_EQ1_EQ_Caldera-Biomasa-Defecto,SIS2_EQ1_EQ_Caldera-Biomasa-Defecto,SIS2_EQ1_EQ_Caldera-Biomasa-Defecto
ConsumoACS,ConsumoCAL,Energía Suministrada
Consumo horario en W asociado a ACS (prorrateando con la demanda),Consumo horario en W asociado a la calefacción (prorrateando con la demanda),Energía Suministrada en W
Biomasa densificada (pelets),Biomasa densificada (pelets),Biomasa densificada (pelets)
 0.00 , 2069.14 , 1408.40 
 0.00 , 2115.94 , 1440.99 
 0.00 , 2052.05 , 1396.51 
 0.00 , 1832.17 , 1243.92 
 0.00 , 1808.77 , 1227.72 
2645.49 , 1790.11 , 3677.68 
 0.00 , 1835.70 , 1246.36 
 0.00 ,  0.00 ,  0.00 
 0.00 ,  0.00 ,  0.00 
 0.00 ,  0.00 ,  0.00 
 0.00 , 198.02 , 132.11 
 0.00 , 1004.64 , 676.05 
 0.00 , 1087.57 , 732.51 
 0.00 , 1153.87 , 777.72 
 0.00 , 1263.57 , 852.65 
 0.00 , 6282.13 , 4480.00 
 0.00 , 2947.40 , 2025.43 
 0.00 , 2770.75 , 1900.38 
 0.00 , 2621.13 , 1794.83 
 0.00 , 2298.22 , 1568.21 
 0.00 , 2013.79 , 1369.91 
 0.00 , 1890.44 , 1284.29 
 0.00 , 1737.51 , 1178.45 
2544.93 , 1806.52 , 3595.45 
 0.00 , 1979.62 , 1346.17 
 0.00 , 2146.23 , 1462.10 
 0.00 , 2130.60 , 1451.20 
 0.00 , 1883.66 , 1279.59 
 0.00 , 1919.01 , 1304.10 
 0.00 , 1909.38 , 1297.42 
 0.00 , 1955.90 , 1329.70 
 0.00 ,  0.00 ,  0.00 
 0.00 ,  0.00 ,  0.00 
 0.00 ,  0.00 ,  0.00 
 0.00 , 773.10 , 518.96 
 0.00 , 1269.80 , 856.92 
 0.00 , 1352.13 , 913.28 
 0.00 , 1473.82 , 996.78 
 0.00 , 1586.98 , 1074.62 
 0.00 , 6282.13 , 4480.00 
 0.00 , 3362.00 , 2320.84 
2619.77 , 2007.45 , 3805.09 
 0.00 , 1153.55 , 777.50 
 0.00 , 399.73 , 267.27 
 0.00 , 93.53 , 62.33 
 0.00 ,  0.00 ,  0.00 
 0.00 ,  0.00 ,  0.00 
 0.00 ,  0.00 ,  0.00 
 0.00 , 103.34 , 68.88 
