CALDERA,CALDERA,CALDERA
SIS2_EQ1_EQ_Caldera-Biomasa-Defecto,SIS2_EQ1_EQ_Caldera-Biomasa-Defecto,SIS2_EQ1_EQ_Caldera-Biomasa-Defecto
ConsumoACS,ConsumoCAL,Energía Suministrada
Consumo horario en W asociado a ACS (prorrateando con la demanda),Consumo horario en W asociado a la calefacción (prorrateando con la demanda),Energía Suministrada en W
Biomasa densificada (pelets),Biomasa densificada (pelets),Biomasa densificada (pelets)
 0.00 , 3270.18 , 2255.19 
 0.00 , 3544.01 , 2451.37 
 0.00 , 3509.65 , 2426.69 
 0.00 , 3060.30 , 2105.61 
3818.15 , 3065.72 , 5672.10 
 0.00 , 3051.88 , 2099.63 
 0.00 , 3026.41 , 2081.52 
 0.00 ,  0.00 ,  0.00 
 0.00 ,  0.00 ,  0.00 
 0.00 ,  0.00 ,  0.00 
 0.00 ,  0.00 ,  0.00 
 0.00 ,  0.00 ,  0.00 
 0.00 , 805.72 , 541.04 
 0.00 , 1309.10 , 883.81 
 0.00 , 1430.62 , 967.11 
 0.00 , 10496.02 , 7860.00 
 0.00 , 4753.39 , 3332.14 
 0.00 , 4520.09 , 3160.39 
 0.00 , 4088.73 , 2845.16 
4106.82 , 3665.77 , 6376.92 
 0.00 , 3393.72 , 2343.55 
 0.00 , 3569.49 , 2469.69 
 0.00 , 3598.51 , 2490.56 
 0.00 , 3624.26 , 2509.09 
 0.00 , 3631.51 , 2514.31 
 0.00 , 3724.00 , 2580.97 
 0.00 , 3644.07 , 2523.35 
 0.00 , 3247.54 , 2239.02 
 0.00 , 3196.16 , 2202.35 
 0.00 , 3157.45 , 2174.76 
3762.65 , 3172.50 , 5697.16 
 0.00 ,  0.00 ,  0.00 
 0.00 ,  0.00 ,  0.00 
 0.00 ,  0.00 ,  0.00 
 0.00 ,  0.00 ,  0.00 
 0.00 , 303.47 , 202.70 
 0.00 , 1325.03 , 894.72 
 0.00 , 1555.12 , 1052.68 
 0.00 , 1741.12 , 1180.94 
 0.00 , 10496.02 , 7860.00 
 0.00 , 5244.85 , 3696.88 
 0.00 , 5009.81 , 3521.94 
 0.00 , 4714.06 , 3303.12 
 0.00 , 4427.36 , 3092.38 
 0.00 , 4207.79 , 2931.87 
4059.27 , 4057.03 , 6619.91 
 0.00 , 4008.29 , 2786.72 
 0.00 , 3991.60 , 2774.60 
 0.00 , 4041.44 , 2810.79 
 0.00 , 4196.33 , 2923.51 
 0.00 , 4109.76 , 2860.47 
 0.00 , 3718.09 , 2576.70 
 0.00 , 3668.33 , 2540.83 
 0.00 , 3629.73 , 2513.03 
 0.00 , 3664.19 , 2537.85 
 0.00 ,  0.00 ,  0.00 
 0.00 ,  0.00 ,  0.00 
 0.00 ,  0.00 ,  0.00 
 0.00 , 100.19 , 66.77 
 0.00 , 1207.66 , 814.44 
 0.00 , 1676.09 , 1136.04 
 0.00 , 1866.24 , 1267.52 
3947.68 , 1970.15 , 5015.86 
 0.00 , 10496.02 , 7860.00 
 0.00 , 5426.57 , 3832.75 
 0.00 , 4174.40 , 2907.53 
 0.00 , 3099.72 , 2133.65 
 0.00 , 2231.92 , 1521.88 
 0.00 , 1540.64 , 1042.71 
 0.00 , 855.73 , 574.94 
 0.00 , 1023.88 , 689.15 
 0.00 , 1990.00 , 1353.38 
3886.51 , 2657.40 , 5443.78 
 0.00 , 3142.11 , 2163.83 
 0.00 , 3292.20 , 2270.92 
 0.00 , 2906.28 , 1996.28 
 0.00 , 2888.84 , 1983.92 
 0.00 , 2941.25 , 2021.07 
 0.00 , 2931.55 , 2014.19 
 0.00 ,  0.00 ,  0.00 
 0.00 ,  0.00 ,  0.00 
 0.00 ,  0.00 ,  0.00 
 0.00 ,  0.00 ,  0.00 
 0.00 ,  0.00 ,  0.00 
 0.00 , 274.24 , 183.12 
 0.00 , 1120.62 , 755.04 
 0.00 , 1247.85 , 841.91 
3831.52 , 10281.36 , 11401.81 
 0.00 , 4711.86 , 3301.50 
 0.00 , 3088.94 , 2125.98 
 0.00 , 2809.66 , 1927.88 
 0.00 , 2910.27 , 1999.10 
