Nombre espacio, Area(m2)
"P02_E01", 64.00
Horario Funcionamiento Equipo, Funcionamiento Real Equipo, Transmisión Muros Exteriores(W/m2 del espacio), Transmisión Muros Interiores(W/m2 del espacio), Transmisión Cubiertas(W/m2 del espacio), Transmisión Suelos(W/m2 del espacio), Transmisión Puentes Térmicos(W/m2 del espacio), Transmisión Ventanas(W/m2 del espacio), Radiación Ventanas(W/m2 del espacio), Fuentes internas(W/m2 del espacio), Carga de ventilación e infiltración(W/m2 del espacio), Energia Almacenada Aire(W/m2 del espacio), Carga Total(W/m2 del espacio), Temperatura aire (ºC)
1, 1, -15.616, 0.000, 0.000, 0.000, -2.421, -4.454, 20.231, 2.961, -6.241, 0.000, -5.540, 20.00
1, 1, -15.477, 0.000, 0.000, 0.000, -2.188, -3.776, 20.128, 2.948, -5.526, 0.000, -3.891, 20.00
1, 1, -15.392, 0.000, 0.000, 0.000, -2.062, -3.369, 18.859, 3.208, -5.526, 0.000, -4.283, 20.00
1, 1, -15.337, 0.000, 0.000, 0.000, -2.079, -3.656, 15.471, 3.221, -5.883, 0.000, -8.263, 20.00
1, 1, -15.111, 0.000, 0.000, 0.000, -2.574, -7.208, 7.176, 3.225, -6.601, 0.000, -21.093, 20.00
1, 1, -14.997, 0.000, 0.000, 0.000, -2.771, -8.368, 4.981, 4.120, -7.324, 0.000, -24.359, 20.00
1, 1, -14.922, 0.000, 0.000, 0.000, -2.906, -8.729, 4.047, 6.435, -8.054, 0.000, -24.130, 20.00
1, 1, -14.841, 0.000, 0.000, 0.000, -2.976, -9.034, 3.532, 6.684, -8.421, 0.000, -25.055, 20.00
1, 1, -14.759, 0.000, 0.000, 0.000, -3.039, -9.298, 3.159, 6.843, -8.789, 0.000, -25.883, 20.00
1, 1, -14.672, 0.000, 0.000, 0.000, -3.100, -9.545, 2.863, 6.959, -9.159, 0.000, -26.654, 20.00
1, 0, -10.643, 0.001, 0.000, 0.000, -2.342, -7.257, 2.615, 5.364, -9.000, 21.263, 0.000, 18.58
1, 0, -7.723, 0.001, 0.000, 0.000, -1.748, -5.441, 2.400, 3.504, -8.623, 17.631, 0.000, 17.41
1, 1, -7.107, 0.001, 0.000, 0.000, -1.653, -5.167, 2.211, 3.319, -8.735, 6.106, -11.026, 17.00
1, 1, -7.577, 0.001, 0.000, 0.000, -1.837, -5.766, 2.042, 3.214, -9.484, 0.000, -19.406, 17.00
1, 1, -7.869, 0.001, 0.000, 0.000, -1.964, -6.185, 1.891, 3.146, -9.860, 0.000, -20.842, 17.00
