CALDERA,CALDERA,CALDERA
SIS2_EQ1_EQ_Caldera-Biomasa-Defecto,SIS2_EQ1_EQ_Caldera-Biomasa-Defecto,SIS2_EQ1_EQ_Caldera-Biomasa-Defecto
ConsumoACS,ConsumoCAL,Energía Suministrada
Consumo horario en W asociado a ACS (prorrateando con la demanda),Consumo horario en W asociado a la calefacción (prorrateando con la demanda),Energía Suministrada en W
Biomasa no densificada,Biomasa no densificada,Biomasa no densificada
 0.00 , 3192.40 , 2199.67 
 0.00 , 3181.30 , 2191.76 
 0.00 , 3194.32 , 2201.04 
 0.00 , 3224.02 , 2222.23 
 0.00 , 3167.09 , 2181.63 
 0.00 , 2984.52 , 2051.77 
 0.00 , 2960.91 , 2035.02 
 0.00 , 2946.07 , 2024.49 
 0.00 , 2989.05 , 2054.99 
2590.58 ,  0.00 , 2409.24 
 0.00 ,  0.00 ,  0.00 
 0.00 , 1747.04 , 1185.04 
 0.00 , 2006.68 , 1364.97 
 0.00 , 2123.49 , 1446.25 
 0.00 , 2176.18 , 1482.98 
 0.00 , 2221.09 , 1514.32 
 0.00 , 2316.05 , 1580.69 
 0.00 , 6282.13 , 4480.00 
 0.00 , 4016.17 , 2792.44 
 0.00 , 3855.26 , 2675.81 
 0.00 , 3751.80 , 2601.03 
 0.00 , 3507.51 , 2425.15 
 0.00 , 3305.85 , 2280.67 
 0.00 , 3204.19 , 2208.08 
 0.00 , 3080.80 , 2120.19 
 0.00 , 3117.11 , 2146.03 
2524.24 , 3213.06 , 4570.05 
 0.00 , 3350.90 , 2312.89 
 0.00 , 3327.95 , 2296.47 
 0.00 , 3125.49 , 2152.00 
 0.00 , 3158.81 , 2175.73 
 0.00 , 3147.61 , 2167.75 
 0.00 , 3192.73 , 2199.91 
 0.00 ,  0.00 ,  0.00 
 0.00 , 246.43 , 164.50 
 0.00 , 2199.44 , 1499.21 
 0.00 , 2335.23 , 1594.11 
 0.00 , 2453.12 , 1676.73 
 0.00 , 2506.05 , 1713.89 
 0.00 , 2606.29 , 1784.39 
 0.00 , 2703.89 , 1853.17 
 0.00 , 6282.13 , 4480.00 
 0.00 , 4488.78 , 3137.41 
2621.25 , 3304.96 , 4726.76 
 0.00 , 2651.07 , 1815.92 
 0.00 , 2024.96 , 1377.68 
 0.00 , 1745.35 , 1183.87 
 0.00 , 1224.81 , 826.15 
 0.00 , 1133.06 , 763.52 
 0.00 , 1795.69 , 1218.67 
 0.00 , 2285.67 , 1559.44 
 0.00 , 2819.59 , 1934.90 
 0.00 , 2966.78 , 2039.18 
 0.00 , 2840.34 , 1949.58 
 0.00 , 2851.60 , 1957.56 
 0.00 , 2860.55 , 1963.89 
 0.00 , 2921.27 , 2006.90 
2590.58 ,  0.00 , 2409.24 
 0.00 ,  0.00 ,  0.00 
 0.00 , 1637.06 , 1109.12 
 0.00 , 1974.90 , 1342.89 
 0.00 , 2041.07 , 1388.88 
 0.00 , 2149.36 , 1464.28 
 0.00 , 2197.55 , 1497.89 
 0.00 , 2239.30 , 1527.04 
 0.00 , 6282.13 , 4480.00 
 0.00 , 3936.85 , 2734.89 
 0.00 , 3816.26 , 2647.60 
 0.00 , 3703.78 , 2566.39 
 0.00 , 3627.03 , 2511.09 
 0.00 , 3420.35 , 2362.63 
 0.00 , 3140.28 , 2162.53 
 0.00 , 3005.99 , 2067.02 
 0.00 , 3045.92 , 2095.39 
2524.24 , 3172.40 , 4540.85 
 0.00 , 3320.88 , 2291.42 
 0.00 , 3281.13 , 2263.01 
 0.00 , 3074.30 , 2115.57 
 0.00 , 3103.62 , 2136.43 
 0.00 , 3088.88 , 2125.94 
 0.00 , 3130.40 , 2155.49 
 0.00 ,  0.00 ,  0.00 
 0.00 , 27.00 , 17.98 
 0.00 , 2112.53 , 1438.61 
 0.00 , 2255.51 , 1538.36 
 0.00 , 2426.45 , 1658.01 
 0.00 , 2535.56 , 1734.63 
 0.00 , 2637.70 , 1806.51 
 0.00 , 2790.87 , 1914.59 
 0.00 , 6282.13 , 4480.00 
 0.00 , 4627.27 , 3239.19 
2621.25 , 3723.99 , 5030.21 
 0.00 , 3596.29 , 2488.96 
 0.00 , 3811.26 , 2643.99 
 0.00 , 3633.25 , 2515.56 
 0.00 , 3446.33 , 2381.25 
 0.00 , 3158.64 , 2175.61 
