ProyectoEdificio, c:\proyectoscteycee\ctehe2019\proyectos\ejemploviv_plurif_caldgas\newbdl_ds.xml, zonaD3.bin

AUTONOMO, SIS_EQ1_EQ_ED_AireAire_SF-Defecto
nhCortaRef, 0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,
nhCortaCal, 0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,
FinAUTONOMO
  
AUTONOMO, SIS2_EQ1_EQ_ED_AireAire_SF-Defecto
demandaSenRef, 0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,83921.52 ,199725.39 ,251762.55 ,151298.05 ,0.0 ,0.0 ,0.0 ,
demandaTotRef, 0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,97806.72 ,222455.11 ,284452.16 ,178315.42 ,0.0 ,0.0 ,0.0 ,
demandaCal, 0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,
consumoRef, 0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,30220.03 ,68526.43 ,82973.51 ,54127.242 ,0.0 ,0.0 ,0.0 ,
consumoCal, 0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,
nhFuncionaRef, 0 ,0 ,0 ,0 ,0 ,102 ,182 ,221 ,164 ,0 ,0 ,0 ,
nhFuncionaCal, 0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,
nhCortaRef, 0 ,0 ,0 ,0 ,0 ,0 ,2 ,3 ,1 ,0 ,0 ,0 ,
nhCortaCal, 0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,
FinAUTONOMO
  
AUTONOMO, SIS2_EQ2_EQ_ED_AireAire_SF-Defecto
demandaSenRef, 0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,91098.22 ,209431.11 ,230997.78 ,107569.2 ,0.0 ,0.0 ,0.0 ,
demandaTotRef, 0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,105892.88 ,232864.81 ,262126.3 ,130152.35 ,0.0 ,0.0 ,0.0 ,
demandaCal, 0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,
consumoRef, 0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,33018.484 ,71782.28 ,78051.1 ,38359.203 ,0.0 ,0.0 ,0.0 ,
consumoCal, 0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,
nhFuncionaRef, 0 ,0 ,0 ,0 ,0 ,110 ,192 ,218 ,110 ,0 ,0 ,0 ,
nhFuncionaCal, 0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,
nhCortaRef, 0 ,0 ,0 ,0 ,0 ,0 ,2 ,3 ,0 ,0 ,0 ,0 ,
nhCortaCal, 0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,
FinAUTONOMO
  
AUTONOMO, SIS2_EQ3_EQ_ED_AireAire_SF-Defecto
demandaSenRef, 0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,81079.53 ,196092.72 ,247497.8 ,148044.9 ,0.0 ,0.0 ,0.0 ,
demandaTotRef, 0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,94681.69 ,218556.88 ,279840.78 ,174704.3 ,0.0 ,0.0 ,0.0 ,
demandaCal, 0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,
consumoRef, 0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,29836.836 ,67912.38 ,82188.266 ,52921.086 ,0.0 ,0.0 ,0.0 ,
consumoCal, 0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,
nhFuncionaRef, 0 ,0 ,0 ,0 ,0 ,102 ,182 ,221 ,160 ,0 ,0 ,0 ,
nhFuncionaCal, 0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,
nhCortaRef, 0 ,0 ,0 ,0 ,0 ,0 ,1 ,3 ,1 ,0 ,0 ,0 ,
nhCortaCal, 0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,
FinAUTONOMO
  
AUTONOMO, SIS2_EQ4_EQ_ED_AireAire_SF-Defecto
demandaSenRef, 0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,92528.97 ,211483.6 ,232979.94 ,108112.27 ,0.0 ,0.0 ,0.0 ,
demandaTotRef, 0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,107489.625 ,235089.28 ,264309.62 ,130790.49 ,0.0 ,0.0 ,0.0 ,
demandaCal, 0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,
consumoRef, 0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,33249.004 ,71960.25 ,78229.49 ,38501.293 ,0.0 ,0.0 ,0.0 ,
consumoCal, 0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,
nhFuncionaRef, 0 ,0 ,0 ,0 ,0 ,110 ,191 ,217 ,110 ,0 ,0 ,0 ,
nhFuncionaCal, 0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,
nhCortaRef, 0 ,0 ,0 ,0 ,0 ,0 ,2 ,3 ,0 ,0 ,0 ,0 ,
nhCortaCal, 0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,
FinAUTONOMO
  
AUTONOMO, SIS3_EQ5_EQ_ED_AireAire_SF-Defecto
demandaSenRef, 0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,99706.3 ,217647.05 ,268286.9 ,166164.67 ,0.0 ,0.0 ,0.0 ,
demandaTotRef, 0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,114989.64 ,241501.17 ,301884.97 ,194479.23 ,0.0 ,0.0 ,0.0 ,
demandaCal, 0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,
consumoRef, 0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,34963.203 ,74263.2 ,88285.984 ,59311.55 ,0.0 ,0.0 ,0.0 ,
consumoCal, 0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,
nhFuncionaRef, 0 ,0 ,0 ,0 ,0 ,116 ,198 ,234 ,183 ,0 ,0 ,0 ,
nhFuncionaCal, 0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,
nhCortaRef, 0 ,0 ,0 ,0 ,0 ,0 ,3 ,3 ,1 ,0 ,0 ,0 ,
nhCortaCal, 0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,
FinAUTONOMO
  
AUTONOMO, SIS3_EQ6_EQ_ED_AireAire_SF-Defecto
demandaSenRef, 0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,106130.86 ,229710.5 ,251910.3 ,118944.82 ,0.0 ,0.0 ,0.0 ,
demandaTotRef, 0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,122286.66 ,254170.27 ,284325.97 ,142803.11 ,0.0 ,0.0 ,0.0 ,
demandaCal, 0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,
consumoRef, 0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,36486.09 ,78152.56 ,84496.055 ,43454.004 ,0.0 ,0.0 ,0.0 ,
consumoCal, 0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,
nhFuncionaRef, 0 ,0 ,0 ,0 ,0 ,118 ,209 ,233 ,129 ,0 ,0 ,0 ,
nhFuncionaCal, 0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,
nhCortaRef, 0 ,0 ,0 ,0 ,0 ,0 ,3 ,3 ,1 ,0 ,0 ,0 ,
nhCortaCal, 0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,
FinAUTONOMO
  
AUTONOMO, SIS3_EQ7_EQ_ED_AireAire_SF-Defecto
demandaSenRef, 0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,95791.16 ,213130.97 ,263347.66 ,162729.61 ,0.0 ,0.0 ,0.0 ,
demandaTotRef, 0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,110720.766 ,236665.98 ,296553.5 ,190678.36 ,0.0 ,0.0 ,0.0 ,
demandaCal, 0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,
consumoRef, 0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,33994.715 ,73487.73 ,86972.03 ,58518.258 ,0.0 ,0.0 ,0.0 ,
consumoCal, 0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,
nhFuncionaRef, 0 ,0 ,0 ,0 ,0 ,114 ,198 ,232 ,181 ,0 ,0 ,0 ,
nhFuncionaCal, 0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,
nhCortaRef, 0 ,0 ,0 ,0 ,0 ,0 ,3 ,3 ,1 ,0 ,0 ,0 ,
nhCortaCal, 0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,
FinAUTONOMO
  
AUTONOMO, SIS3_EQ8_EQ_ED_AireAire_SF-Defecto
demandaSenRef, 0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,108846.62 ,233341.23 ,255258.28 ,120394.03 ,0.0 ,0.0 ,0.0 ,
demandaTotRef, 0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,125252.414 ,258041.61 ,287961.0 ,144453.34 ,0.0 ,0.0 ,0.0 ,
demandaCal, 0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,
consumoRef, 0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,37293.38 ,79000.75 ,85099.87 ,43680.543 ,0.0 ,0.0 ,0.0 ,
consumoCal, 0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,
nhFuncionaRef, 0 ,0 ,0 ,0 ,0 ,120 ,210 ,233 ,129 ,0 ,0 ,0 ,
nhFuncionaCal, 0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,
nhCortaRef, 0 ,0 ,0 ,0 ,0 ,0 ,3 ,3 ,1 ,0 ,0 ,0 ,
nhCortaCal, 0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,
FinAUTONOMO
  
AUTONOMO, SIS4_EQ1_EQ_ED_AireAire_SF-Defecto
demandaSenRef, 0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,116778.55 ,260295.75 ,314063.56 ,188246.14 ,0.0 ,0.0 ,0.0 ,
demandaTotRef, 0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,133716.98 ,286416.16 ,350466.3 ,218700.67 ,0.0 ,0.0 ,0.0 ,
demandaCal, 0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,
consumoRef, 0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,38798.16 ,85197.09 ,98709.05 ,65424.34 ,0.0 ,0.0 ,0.0 ,
consumoCal, 0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,
nhFuncionaRef, 0 ,0 ,0 ,0 ,0 ,124 ,219 ,247 ,199 ,0 ,0 ,0 ,
nhFuncionaCal, 0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,
nhCortaRef, 0 ,0 ,0 ,0 ,0 ,0 ,5 ,3 ,2 ,0 ,0 ,0 ,
nhCortaCal, 0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,
FinAUTONOMO
  
AUTONOMO, SIS4_EQ2_EQ_ED_AireAire_SF-Defecto
demandaSenRef, 0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,119705.25 ,265097.0 ,293763.16 ,140262.8 ,0.0 ,0.0 ,0.0 ,
demandaTotRef, 0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,137121.44 ,291435.5 ,328832.8 ,166404.77 ,0.0 ,0.0 ,0.0 ,
demandaCal, 0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,
consumoRef, 0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,40261.176 ,86836.266 ,94378.49 ,49638.18 ,0.0 ,0.0 ,0.0 ,
consumoCal, 0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,
nhFuncionaRef, 0 ,0 ,0 ,0 ,0 ,128 ,225 ,247 ,145 ,0 ,0 ,0 ,
nhFuncionaCal, 0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,
nhCortaRef, 0 ,0 ,0 ,0 ,0 ,0 ,5 ,3 ,2 ,0 ,0 ,0 ,
nhCortaCal, 0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,
FinAUTONOMO
  
AUTONOMO, SIS4_EQ3_EQ_ED_AireAire_SF-Defecto
demandaSenRef, 0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,111961.6 ,253437.2 ,307225.28 ,183662.9 ,0.0 ,0.0 ,0.0 ,
demandaTotRef, 0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,128468.01 ,279138.12 ,343075.22 ,213652.8 ,0.0 ,0.0 ,0.0 ,
demandaCal, 0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,
consumoRef, 0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,37892.195 ,83958.88 ,97419.77 ,64239.74 ,0.0 ,0.0 ,0.0 ,
consumoCal, 0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,
nhFuncionaRef, 0 ,0 ,0 ,0 ,0 ,123 ,219 ,247 ,196 ,0 ,0 ,0 ,
nhFuncionaCal, 0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,
nhCortaRef, 0 ,0 ,0 ,0 ,0 ,0 ,5 ,3 ,2 ,0 ,0 ,0 ,
nhCortaCal, 0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,
FinAUTONOMO
  
AUTONOMO, SIS4_EQ4_EQ_ED_AireAire_SF-Defecto
demandaSenRef, 0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,124165.305 ,271014.56 ,299067.1 ,142867.05 ,0.0 ,0.0 ,0.0 ,
demandaTotRef, 0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,141993.94 ,297710.06 ,334569.3 ,169319.69 ,0.0 ,0.0 ,0.0 ,
demandaCal, 0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,
consumoRef, 0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,41325.926 ,87913.45 ,95361.914 ,50210.79 ,0.0 ,0.0 ,0.0 ,
consumoCal, 0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,
nhFuncionaRef, 0 ,0 ,0 ,0 ,0 ,130 ,225 ,247 ,146 ,0 ,0 ,0 ,
nhFuncionaCal, 0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,
