Nombre espacio, Area(m2)
"P03_E01", 64.00
Horario Funcionamiento Equipo, Funcionamiento Real Equipo, Transmisión Muros Exteriores(W/m2 del espacio), Transmisión Muros Interiores(W/m2 del espacio), Transmisión Cubiertas(W/m2 del espacio), Transmisión Suelos(W/m2 del espacio), Transmisión Puentes Térmicos(W/m2 del espacio), Transmisión Ventanas(W/m2 del espacio), Radiación Ventanas(W/m2 del espacio), Fuentes internas(W/m2 del espacio), Carga de ventilación e infiltración(W/m2 del espacio), Energia Almacenada Aire(W/m2 del espacio), Carga Total(W/m2 del espacio), Temperatura aire (ºC)
1, 0, -0.126, 0.093, -0.190, 0.000, -0.258, -0.168, 0.654, 3.804, -3.810, 0.000, -0.000, 19.16
1, 0, -0.978, -0.022, -1.665, 0.000, -1.996, -1.293, 0.614, 3.641, -2.551, 4.251, -0.000, 18.88
1, 0, -0.792, -0.012, -1.413, 0.000, -1.619, -1.048, 0.579, 3.541, -2.195, 2.960, 0.000, 18.68
1, 0, -0.709, -0.009, -1.267, 0.000, -1.449, -0.939, 0.547, 3.471, -2.165, 2.519, 0.000, 18.52
1, 0, -0.665, -0.007, -1.168, 0.000, -1.358, -0.882, 0.518, 3.416, -2.241, 2.388, -0.000, 18.36
1, 0, -0.614, -0.005, -1.075, 0.000, -1.254, -0.815, 0.491, 3.371, -2.216, 2.118, -0.000, 18.21
1, 0, -0.589, -0.004, -1.015, 0.000, -1.204, -0.784, 0.466, 3.332, -2.296, 2.096, 0.000, 18.08
1, 1, -2.168, -0.254, -3.722, 0.000, -4.431, -2.888, 0.444, 3.374, -2.649, -28.873, -41.167, 20.00
1, 1, -2.080, -0.229, -3.569, 0.000, -4.247, -2.759, 0.531, 3.350, -2.649, 0.000, -11.652, 20.00
1, 1, -1.926, -0.212, -3.473, 0.000, -3.914, -2.446, 1.389, 3.327, -2.436, 0.000, -9.691, 20.00
1, 1, -1.746, -0.199, -3.389, 0.000, -3.516, -1.987, 3.078, 3.306, -2.224, 0.000, -6.677, 20.00
1, 1, -1.745, -0.191, -3.353, 0.000, -3.528, -2.089, 2.305, 3.286, -2.224, 0.000, -7.539, 20.00
