CALDERA,CALDERA,CALDERA
SIS2_EQ1_EQ_Caldera-Biomasa-Defecto,SIS2_EQ1_EQ_Caldera-Biomasa-Defecto,SIS2_EQ1_EQ_Caldera-Biomasa-Defecto
ConsumoACS,ConsumoCAL,Energía Suministrada
Consumo horario en W asociado a ACS (prorrateando con la demanda),Consumo horario en W asociado a la calefacción (prorrateando con la demanda),Energía Suministrada en W
Biomasa no densificada,Biomasa no densificada,Biomasa no densificada
 0.00 , 6282.13 , 4480.00 
 0.00 , 3370.81 , 2327.14 
 0.00 , 1951.15 , 1326.40 
 0.00 , 1181.97 , 796.90 
 0.00 , 1410.77 , 953.49 
 0.00 , 1650.21 , 1118.19 
 0.00 , 1766.84 , 1198.72 
 0.00 , 1396.93 , 944.00 
 0.00 , 975.06 , 655.94 
2524.24 , 1081.58 , 3076.84 
 0.00 , 2025.16 , 1377.82 
 0.00 , 2180.97 , 1486.32 
 0.00 , 2061.24 , 1402.91 
 0.00 , 2074.17 , 1411.91 
 0.00 , 2135.10 , 1454.34 
 0.00 , 2144.55 , 1460.92 
 0.00 ,  0.00 ,  0.00 
 0.00 ,  0.00 ,  0.00 
 0.00 , 89.48 , 59.63 
 0.00 , 1275.49 , 860.81 
 0.00 , 1405.54 , 949.90 
 0.00 , 1469.63 , 993.90 
 0.00 , 1575.96 , 1067.03 
 0.00 , 1625.28 , 1101.00 
 0.00 , 6282.13 , 4480.00 
 0.00 , 3280.21 , 2262.35 
2621.25 , 3195.77 , 4648.19 
 0.00 , 3112.03 , 2142.41 
 0.00 , 3069.45 , 2112.12 
 0.00 , 3033.20 , 2086.34 
 0.00 , 2921.03 , 2006.73 
 0.00 , 2900.11 , 1991.91 
 0.00 , 2887.56 , 1983.01 
 0.00 , 2899.23 , 1991.28 
 0.00 , 2926.79 , 2010.82 
 0.00 , 2867.31 , 1968.67 
 0.00 , 2688.39 , 1842.23 
 0.00 , 2664.57 , 1825.44 
 0.00 , 2649.37 , 1814.73 
 0.00 , 2689.42 , 1842.96 
2590.58 ,  0.00 , 2409.24 
 0.00 ,  0.00 ,  0.00 
 0.00 , 1028.68 , 692.41 
 0.00 , 1683.27 , 1141.00 
 0.00 , 1800.96 , 1222.32 
 0.00 , 1855.27 , 1259.92 
 0.00 , 1901.40 , 1291.89 
 0.00 , 1994.72 , 1356.66 
 0.00 , 6282.13 , 4480.00 
 0.00 , 3676.70 , 2546.86 
 0.00 , 3525.41 , 2438.01 
 0.00 , 3427.61 , 2367.83 
 0.00 , 3195.56 , 2201.92 
 0.00 , 3004.55 , 2065.99 
 0.00 , 2908.29 , 1997.70 
 0.00 , 2790.63 , 1914.43 
 0.00 , 2824.32 , 1938.25 
2524.24 , 2917.24 , 4358.22 
 0.00 , 3046.47 , 2095.78 
 0.00 , 3026.82 , 2081.81 
 0.00 , 2822.13 , 1936.70 
 0.00 , 2852.33 , 1958.07 
 0.00 , 2840.19 , 1949.48 
 0.00 , 2881.98 , 1979.06 
 0.00 ,  0.00 ,  0.00 
 0.00 ,  0.00 ,  0.00 
 0.00 , 1608.85 , 1089.68 
 0.00 , 1997.08 , 1358.30 
 0.00 , 2113.90 , 1439.57 
 0.00 , 2167.23 , 1476.74 
 0.00 , 2265.19 , 1545.12 
 0.00 , 2359.84 , 1611.33 
 0.00 , 6282.13 , 4480.00 
 0.00 , 4120.13 , 2868.01 
2621.25 , 2986.46 , 4498.17 
 0.00 , 2349.15 , 1603.85 
 0.00 , 1735.68 , 1177.19 
 0.00 , 1460.71 , 987.77 
 0.00 , 949.75 , 638.74 
 0.00 , 866.94 , 582.53 
 0.00 , 1526.09 , 1032.71 
 0.00 , 2006.90 , 1365.12 
 0.00 , 2529.01 , 1730.02 
 0.00 , 2665.94 , 1826.41 
 0.00 , 2541.64 , 1738.90 
 0.00 , 2552.32 , 1746.41 
 0.00 , 2560.93 , 1752.47 
 0.00 , 2618.70 , 1793.12 
2590.58 ,  0.00 , 2409.24 
 0.00 ,  0.00 ,  0.00 
 0.00 , 912.08 , 613.16 
 0.00 , 1648.93 , 1117.30 
 0.00 , 1718.88 , 1165.58 
 0.00 , 1826.92 , 1240.29 
 0.00 , 1876.23 , 1274.44 
 0.00 , 1918.98 , 1304.08 
 0.00 , 6282.13 , 4480.00 
 0.00 , 3599.36 , 2491.17 
 0.00 , 3486.95 , 2410.39 
 0.00 , 3380.30 , 2333.94 
 0.00 , 3307.50 , 2281.85 
 0.00 , 3111.28 , 2141.88 
 0.00 , 2844.94 , 1952.84 
 0.00 , 2717.54 , 1862.80 
 0.00 , 2754.95 , 1889.22 
2524.24 , 2876.43 , 4329.12 
 0.00 , 3015.62 , 2073.85 
 0.00 , 2979.68 , 2048.33 
 0.00 , 2770.72 , 1900.36 
 0.00 , 2797.03 , 1918.95 
 0.00 , 2781.47 , 1907.96 
 0.00 , 2819.77 , 1935.04 
 0.00 ,  0.00 ,  0.00 
 0.00 ,  0.00 ,  0.00 
 0.00 , 1370.94 , 926.18 
 0.00 , 1915.81 , 1301.88 
 0.00 , 2083.84 , 1418.63 
 0.00 , 2190.44 , 1492.93 
 0.00 , 2289.59 , 1562.18 
 0.00 , 2436.88 , 1665.33 
 0.00 , 6282.13 , 4480.00 
 0.00 , 4244.55 , 2958.69 
2621.25 , 3380.13 , 4780.97 
 0.00 , 3253.09 , 2242.98 
 0.00 , 3461.44 , 2392.09 
 0.00 , 3289.86 , 2269.24 
 0.00 , 3106.80 , 2138.69 
 0.00 , 2821.51 , 1936.26 
 0.00 , 2648.95 , 1814.43 
 0.00 , 3035.64 , 2088.08 
 0.00 , 3487.43 , 2410.74 
 0.00 , 3565.73 , 2466.98 
 0.00 , 3367.35 , 2324.67 
 0.00 , 3414.51 , 2358.44 
 0.00 , 3466.82 , 2395.95 
 0.00 , 3417.15 , 2360.34 
2590.58 ,  0.00 , 2409.24 
 0.00 , 464.20 , 310.58 
 0.00 , 2271.51 , 1549.54 
 0.00 , 2353.09 , 1606.61 
 0.00 , 2415.49 , 1650.33 
 0.00 , 2467.45 , 1686.78 
 0.00 , 2460.33 , 1681.79 
 0.00 , 2499.15 , 1709.04 
 0.00 , 6282.13 , 4480.00 
 0.00 , 4119.30 , 2867.41 
 0.00 , 3247.91 , 2239.28 
 0.00 , 3123.02 , 2150.24 
 0.00 , 2782.67 , 1908.80 
 0.00 , 2841.17 , 1950.17 
 0.00 , 2993.79 , 2058.36 
 0.00 , 3099.69 , 2133.63 
 0.00 , 3120.06 , 2148.13 
2524.24 , 3156.87 , 4529.69 
 0.00 , 3318.35 , 2289.61 
 0.00 , 3303.16 , 2278.75 
 0.00 , 3083.23 , 2121.92 
 0.00 , 3113.65 , 2143.57 
 0.00 , 3101.63 , 2135.01 
 0.00 , 3092.02 , 2128.17 
 0.00 ,  0.00 ,  0.00 
 0.00 , 34.52 , 22.99 
 0.00 , 2079.31 , 1415.49 
 0.00 , 2159.26 , 1471.18 
 0.00 , 2218.55 , 1512.55 
 0.00 , 2266.36 , 1545.94 
 0.00 , 2359.43 , 1611.05 
 0.00 , 2397.51 , 1637.73 
 0.00 , 6282.13 , 4480.00 
 0.00 , 4008.83 , 2787.11 
2621.25 , 3859.09 , 5128.71 
 0.00 , 3632.74 , 2515.20 
 0.00 , 3434.84 , 2373.01 
 0.00 , 3281.31 , 2263.14 
 0.00 , 3348.36 , 2311.08 
 0.00 , 3361.48 , 2320.47 
 0.00 , 3374.06 , 2329.47 
 0.00 , 3379.15 , 2333.11 
 0.00 , 3442.73 , 2378.67 
 0.00 , 3401.13 , 2348.86 
 0.00 , 3220.53 , 2219.74 
 0.00 , 3193.08 , 2200.16 
 0.00 , 3173.53 , 2186.22 
 0.00 , 3208.64 , 2211.26 
2590.58 ,  0.00 , 2409.24 
 0.00 , 241.37 , 161.11 
 0.00 , 2190.71 , 1493.11 
 0.00 , 2267.64 , 1546.83 
 0.00 , 2376.32 , 1622.88 
 0.00 , 2476.11 , 1692.86 
 0.00 , 2518.33 , 1722.52 
 0.00 , 2607.10 , 1784.95 
 0.00 , 6282.13 , 4480.00 
 0.00 , 4316.92 , 3011.55 
 0.00 , 4181.33 , 2912.58 
