Nombre espacio, Area(m2)
"P04_E03", 75.94
Horario Funcionamiento Equipo, Funcionamiento Real Equipo, Transmisión Muros Exteriores(W/m2 del espacio), Transmisión Muros Interiores(W/m2 del espacio), Transmisión Cubiertas(W/m2 del espacio), Transmisión Suelos(W/m2 del espacio), Transmisión Puentes Térmicos(W/m2 del espacio), Transmisión Ventanas(W/m2 del espacio), Radiación Ventanas(W/m2 del espacio), Fuentes internas(W/m2 del espacio), Carga de ventilación e infiltración(W/m2 del espacio), Energia Almacenada Aire(W/m2 del espacio), Carga Total(W/m2 del espacio), Temperatura aire (ºC)
1, 0, -2.348, 0.000, -2.067, 0.000, -0.726, -1.629, 1.734, 7.708, -4.153, 1.482, -0.000, 23.03
1, 0, -2.293, 0.000, -1.975, 0.000, -0.710, -1.615, 1.550, 7.890, -4.119, 1.272, 0.000, 22.95
1, 0, -2.245, 0.000, -1.900, 0.000, -0.695, -1.598, 1.416, 8.012, -4.089, 1.100, 0.000, 22.87
1, 0, -2.098, 0.000, -1.695, 0.000, -0.650, -1.510, 1.313, 6.047, -4.246, 2.838, 0.000, 22.68
1, 0, -1.778, 0.000, -1.416, 0.000, -0.551, -1.288, 1.232, 3.760, -4.133, 4.174, -0.000, 22.41
1, 0, -1.532, 0.000, -1.208, 0.000, -0.474, -1.115, 1.164, 3.514, -4.033, 3.684, 0.000, 22.16
1, 0, -1.375, 0.000, -1.046, 0.000, -0.426, -1.008, 1.107, 3.372, -4.171, 3.546, 0.000, 21.92
1, 0, -1.210, 0.000, -0.913, 0.000, -0.374, -0.890, 1.058, 3.283, -4.086, 3.132, 0.000, 21.71
1, 0, -1.076, 0.000, -0.810, 0.000, -0.333, -0.794, 1.014, 3.223, -4.010, 2.785, -0.000, 21.53
1, 0, -0.969, 0.000, -0.729, 0.000, -0.300, -0.717, 0.975, 3.181, -3.942, 2.502, 0.000, 21.36
1, 0, -0.879, 0.000, -0.662, 0.000, -0.272, -0.651, 0.939, 3.149, -3.881, 2.257, 0.000, 21.21
1, 0, -0.824, 0.000, -0.605, 0.000, -0.255, -0.613, 0.906, 3.213, -4.055, 2.231, -0.000, 21.06
1, 0, -0.721, 0.000, -0.549, 0.000, -0.223, -0.533, 1.023, 3.201, -3.778, 1.580, 0.000, 20.96
1, 0, -0.642, 0.000, -0.526, 0.000, -0.197, -0.458, 1.700, 3.189, -3.533, 0.466, -0.000, 20.93
1, 0, -0.617, 0.000, -0.704, 0.000, -0.195, -0.228, 7.223, 3.178, -3.216, -5.440, 0.000, 21.29
1, 0, -1.037, 0.000, -1.851, 0.000, -0.317, 0.446, 12.558, 3.168, -2.800, -10.167, 0.000, 21.97
1, 0, -1.277, 0.000, -3.058, 0.000, -0.336, 0.157, 14.503, 3.159, -2.626, -10.523, -0.000, 22.67
1, 0, -1.760, 0.000, -3.502, 0.000, -0.474, -0.266, 9.680, 3.151, -2.513, -4.316, 0.000, 22.96
1, 0, -1.847, 0.000, -3.751, 0.000, -0.499, -0.329, 9.018, 3.143, -2.597, -3.138, 0.000, 23.17
1, 0, -1.972, -0.000, -3.887, 0.000, -0.550, -0.388, 8.430, 3.469, -2.662, -2.438, 0.000, 23.33
1, 0, -2.051, -0.000, -3.941, 0.000, -0.604, -0.444, 8.371, 3.492, -2.718, -2.105, -0.000, 23.47
1, 0, -2.247, 0.000, -3.157, 0.000, -0.682, -1.152, 3.690, 3.503, -2.868, 2.913, -0.000, 23.27
1, 0, -2.181, 0.000, -2.653, 0.000, -0.675, -1.370, 2.324, 4.596, -3.017, 2.977, 0.000, 23.08
1, 0, -2.235, 0.000, -2.513, 0.000, -0.695, -1.492, 1.859, 7.413, -3.222, 0.884, 0.000, 23.02
1, 0, -2.260, 0.000, -2.375, 0.000, -0.702, -1.559, 1.593, 7.711, -3.425, 1.018, 0.000, 22.95
