CALDERA,CALDERA,CALDERA
SIS2_EQ1_EQ_Caldera-Biomasa-Defecto,SIS2_EQ1_EQ_Caldera-Biomasa-Defecto,SIS2_EQ1_EQ_Caldera-Biomasa-Defecto
ConsumoACS,ConsumoCAL,Energía Suministrada
Consumo horario en W asociado a ACS (prorrateando con la demanda),Consumo horario en W asociado a la calefacción (prorrateando con la demanda),Energía Suministrada en W
Biomasa densificada (pelets),Biomasa densificada (pelets),Biomasa densificada (pelets)
 0.00 , 478.00 , 319.86 
 0.00 , 10445.75 , 7817.69 
 0.00 , 4227.76 , 2946.43 
 0.00 , 1773.93 , 1203.63 
 0.00 , 435.05 , 290.99 
3876.41 , 845.79 , 4174.12 
 0.00 , 1208.20 , 814.81 
 0.00 , 1322.53 , 893.00 
 0.00 , 790.12 , 530.48 
 0.00 , 299.66 , 200.14 
 0.00 , 611.12 , 409.52 
 0.00 , 1970.18 , 1339.61 
 0.00 , 2223.54 , 1516.03 
 0.00 , 1914.23 , 1300.78 
3887.99 , 1913.85 , 4920.91 
 0.00 , 2004.65 , 1363.56 
 0.00 , 2011.78 , 1368.51 
 0.00 ,  0.00 ,  0.00 
 0.00 ,  0.00 ,  0.00 
 0.00 ,  0.00 ,  0.00 
 0.00 ,  0.00 ,  0.00 
 0.00 ,  0.00 ,  0.00 
 0.00 ,  0.00 ,  0.00 
 0.00 ,  0.00 ,  0.00 
 0.00 , 316.22 , 211.24 
 0.00 , 10349.05 , 7736.43 
 0.00 , 4132.10 , 2876.73 
4208.19 , 3963.48 , 6690.35 
 0.00 , 3841.54 , 2665.88 
 0.00 , 3752.66 , 2601.65 
 0.00 , 3670.73 , 2542.56 
 0.00 , 3442.71 , 2378.66 
 0.00 , 3396.33 , 2345.42 
 0.00 , 3378.92 , 2332.95 
 0.00 , 3409.07 , 2354.55 
 0.00 , 3476.74 , 2403.06 
3797.38 , 3338.05 , 5849.21 
 0.00 , 2978.68 , 2047.63 
 0.00 , 2934.55 , 2016.32 
 0.00 , 2903.58 , 1994.37 
 0.00 , 2956.02 , 2031.55 
 0.00 ,  0.00 ,  0.00 
 0.00 ,  0.00 ,  0.00 
 0.00 ,  0.00 ,  0.00 
 0.00 ,  0.00 ,  0.00 
 0.00 , 81.02 , 53.99 
 0.00 , 626.37 , 419.81 
 0.00 , 715.93 , 480.29 
 0.00 , 1191.24 , 803.23 
4096.34 , 10290.79 , 11669.60 
 0.00 , 4829.93 , 3388.68 
 0.00 , 4569.42 , 3196.63 
 0.00 , 4352.67 , 3037.69 
 0.00 , 3882.87 , 2695.79 
 0.00 , 3466.02 , 2395.37 
 0.00 , 3284.20 , 2265.20 
 0.00 , 3066.56 , 2110.06 
3836.72 , 3138.27 , 5741.66 
 0.00 , 3391.53 , 2341.98 
 0.00 , 3627.81 , 2511.64 
 0.00 , 3581.79 , 2478.53 
 0.00 , 3149.17 , 2168.86 
 0.00 , 3184.56 , 2194.09 
 0.00 , 3155.21 , 2173.16 
 0.00 , 3209.19 , 2211.64 
3767.28 ,  0.00 , 3503.57 
 0.00 ,  0.00 ,  0.00 
 0.00 ,  0.00 ,  0.00 
 0.00 ,  0.00 ,  0.00 
 0.00 , 804.06 , 539.92 
 0.00 , 964.83 , 648.99 
 0.00 , 1590.84 , 1077.27 
 0.00 , 1833.54 , 1244.87 
 0.00 , 10496.02 , 7860.00 
 0.00 , 5485.52 , 3876.95 
 0.00 , 3547.54 , 2453.91 
 0.00 , 2403.14 , 1641.67 
3876.41 , 1394.18 , 4549.55 
 0.00 , 1059.03 , 713.07 
 0.00 , 393.34 , 262.98 
 0.00 , 407.02 , 272.16 
 0.00 , 983.39 , 661.60 
 0.00 , 1979.83 , 1346.31 
 0.00 , 2742.77 , 1880.61 
 0.00 , 2961.10 , 2035.15 
 0.00 , 2646.39 , 1812.63 
3887.99 , 2632.64 , 5427.54 
 0.00 , 2644.35 , 1811.19 
 0.00 , 2722.31 , 1866.17 
 0.00 ,  0.00 ,  0.00 
 0.00 ,  0.00 ,  0.00 
 0.00 ,  0.00 ,  0.00 
 0.00 ,  0.00 ,  0.00 
 0.00 ,  0.00 ,  0.00 
 0.00 , 230.09 , 153.57 
 0.00 , 580.12 , 388.62 
 0.00 , 772.73 , 518.71 
 0.00 , 10496.02 , 7860.00 
 0.00 , 4599.64 , 3218.85 
4208.19 , 4356.96 , 6981.93 
 0.00 , 4216.14 , 2937.96 
 0.00 , 4051.23 , 2817.91 
 0.00 , 3615.37 , 2502.69 
 0.00 , 3072.58 , 2114.34 
 0.00 , 2836.37 , 1946.77 
 0.00 , 2940.54 , 2020.56 
 0.00 , 3264.87 , 2251.39 
 0.00 , 3534.46 , 2444.51 
3797.38 , 3429.62 , 5915.59 
 0.00 , 3013.18 , 2072.12 
 0.00 , 3045.90 , 2095.37 
 0.00 , 3014.25 , 2072.88 
 0.00 , 3065.86 , 2109.56 
 0.00 ,  0.00 ,  0.00 
 0.00 ,  0.00 ,  0.00 
 0.00 ,  0.00 ,  0.00 
 0.00 ,  0.00 ,  0.00 
 0.00 , 525.79 , 352.02 
 0.00 , 933.80 , 627.91 
 0.00 , 1459.39 , 986.87 
 0.00 , 1911.30 , 1298.75 
4096.34 , 10290.79 , 11669.60 
 0.00 , 5627.19 , 3983.41 
 0.00 , 4135.04 , 2878.87 
 0.00 , 3834.87 , 2661.06 
 0.00 , 4177.56 , 2909.83 
 0.00 , 3808.03 , 2641.65 
 0.00 , 3416.70 , 2360.02 
 0.00 , 3039.49 , 2090.81 
3836.72 , 2867.58 , 5547.31 
 0.00 , 3535.86 , 2445.51 
 0.00 , 4261.66 , 2971.18 
 0.00 , 4368.14 , 3049.01 
 0.00 , 3959.23 , 2751.12 
 0.00 , 4020.18 , 2795.35 
 0.00 , 4091.33 , 2847.06 
 0.00 , 4007.41 , 2786.08 
3767.28 ,  0.00 , 3503.57 
 0.00 ,  0.00 ,  0.00 
 0.00 ,  0.00 ,  0.00 
 0.00 , 936.76 , 629.92 
 0.00 , 1208.69 , 815.14 
 0.00 , 1884.55 , 1280.21 
 0.00 , 1943.91 , 1321.38 
 0.00 , 2053.04 , 1397.20 
 0.00 , 10496.02 , 7860.00 
 0.00 , 5425.71 , 3832.10 
 0.00 , 3900.87 , 2708.83 
 0.00 , 3614.96 , 2502.40 
3876.41 , 2955.24 , 5647.15 
 0.00 , 3065.49 , 2109.30 
 0.00 , 3299.64 , 2276.23 
