CALDERA,CALDERA,CALDERA,AUTONOMOSF,AUTONOMOSF,AUTONOMOSF,AUTONOMOSF,AUTONOMOSF,AUTONOMOSF
SIS2_EQ2_EQ_Caldera-Biomasa-Defecto,SIS2_EQ2_EQ_Caldera-Biomasa-Defecto,SIS2_EQ2_EQ_Caldera-Biomasa-Defecto,SIS_EQ1_EQ_ED_AireAire_SF-Defecto,SIS_EQ1_EQ_ED_AireAire_SF-Defecto,SIS1_EQ2_EQ_ED_AireAire_SF-Defecto,SIS1_EQ2_EQ_ED_AireAire_SF-Defecto,SIS3_EQ1_EQ_ED_AireAire_SF-Defecto,SIS3_EQ1_EQ_ED_AireAire_SF-Defecto
ConsumoACS,ConsumoCAL,Energía Suministrada,conRef,potTotRef,conRef,potTotRef,conRef,potTotRef
Consumo horario en W asociado a ACS (prorrateando con la demanda),Consumo horario en W asociado a la calefacción (prorrateando con la demanda),Energía Suministrada en W,Consumo horario eléctrico en W para producir refrigeración,Potencia horaria entregada W para refrigeración,Consumo horario eléctrico en W para producir refrigeración,Potencia horaria entregada W para refrigeración,Consumo horario eléctrico en W para producir refrigeración,Potencia horaria entregada W para refrigeración
Biomasa densificada (pelets),Biomasa densificada (pelets),Biomasa densificada (pelets),Electricidad,Electricidad,Electricidad,Electricidad,Electricidad,Electricidad
571.08 , 1362.54 , 1254.19 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 
799.51 , 659.49 , 1021.29 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 
685.29 , 723.65 , 967.46 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 
685.29 , 713.52 , 961.52 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 
571.08 , 800.46 , 921.11 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 
571.08 ,  0.00 , 456.86 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 
114.22 ,  0.00 , 91.37 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 
 0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 
 0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 
 0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 
 0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 
114.22 ,  0.00 , 91.37 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 
342.65 ,  0.00 , 274.12 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 
1142.16 , 8676.13 , 6691.55 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 
799.51 , 3084.03 , 2496.53 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 
799.51 , 2795.65 , 2314.86 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 
685.29 , 1670.86 , 1530.99 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 
685.29 , 1271.66 , 1291.41 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 
571.08 , 1413.00 , 1284.39 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 
